country_name,tendency,film_index,film_rank,avg_weekly_hours,real_tv_pct,real_film_pct,real_avg_min_series,real_avg_min_movies,data_source
Argentina,드라마 몰입형,20,76,20384247.78761062,84.93,15.07,92124.0,16352.0,실측(Comparitech)
Australia,영화 선호형,77,23,27501472.868217055,77.67,22.33,52673.0,15144.0,실측(Comparitech)
Austria,영화 선호형,76,24,23492743.902439024,84.21,15.79,50250.0,9422.0,실측(Comparitech)
Bahamas,영화 선호형,68,31,23294491.017964073,,,,,추정(순위 기반 지표)
Bahrain,중립형,44,54,21539947.08994709,,,,,추정(순위 기반 지표)
Bangladesh,영화 선호형,88,12,22184800.0,,,,,추정(순위 기반 지표)
Belgium,영화 선호형,84,16,23915764.70588235,81.24,18.76,60102.0,13883.0,실측(Comparitech)
Bolivia,드라마 몰입형,19,77,20956255.924170617,,,,,추정(순위 기반 지표)
Brazil,드라마 몰입형,16,80,19536329.11392405,84.08,15.92,80512.0,15240.0,실측(Comparitech)
Bulgaria,영화 선호형,74,25,23823976.608187135,91.21,8.79,44122.0,4253.0,실측(Comparitech)
Canada,영화 선호형,94,7,28671280.0,80.28,19.72,75979.0,18669.0,실측(Comparitech)
Chile,드라마 몰입형,18,78,20206137.339055795,86.57,13.43,85159.0,13212.0,실측(Comparitech)
Colombia,드라마 몰입형,11,85,19898860.75949367,78.84,21.16,65045.0,17461.0,실측(Comparitech)
Costa Rica,드라마 몰입형,9,87,20362576.419213973,,,,,추정(순위 기반 지표)
Croatia,영화 선호형,99,2,21164182.692307692,81.24,18.76,35854.0,8281.0,실측(Comparitech)
Cyprus,중립형,40,57,21748629.441624366,93.06,6.94,50616.0,3774.0,실측(Comparitech)
Czech Republic,영화 선호형,71,28,23195224.719101124,79.63,20.37,33380.0,8541.0,실측(Comparitech)
Denmark,영화 선호형,91,9,23550060.606060605,77.25,22.75,55682.0,16396.0,실측(Comparitech)
Dominican Republic,드라마 몰입형,12,84,20715502.392344497,,,,,추정(순위 기반 지표)
Ecuador,드라마 몰입형,1,94,20353698.630136985,,,,,추정(순위 기반 지표)
Egypt,중립형,38,59,24471633.986928105,87.21,12.79,54238.0,7953.0,실측(Comparitech)
El Salvador,드라마 몰입형,5,90,20877089.201877933,,,,,추정(순위 기반 지표)
Estonia,영화 선호형,89,11,23572411.76470588,85.8,14.2,39622.0,6555.0,실측(Comparitech)
Finland,드라마 몰입형,32,65,23338114.285714287,78.91,21.09,52344.0,13990.0,실측(Comparitech)
France,영화 선호형,72,27,24187169.811320756,83.83,16.17,65081.0,12553.0,실측(Comparitech)
Germany,영화 선호형,87,13,23582576.687116563,81.93,18.07,54272.0,11969.0,실측(Comparitech)
Greece,중립형,63,36,22195585.106382977,86.93,13.07,51040.0,7672.0,실측(Comparitech)
Guadeloupe,중립형,53,45,23256294.11764706,,,,,추정(순위 기반 지표)
Guatemala,드라마 몰입형,7,88,20284484.304932736,,,,,추정(순위 기반 지표)
Honduras,드라마 몰입형,3,92,20209911.111111112,,,,,추정(순위 기반 지표)
Hong Kong,중립형,37,60,25797642.276422765,,,,,추정(순위 기반 지표)
Hungary,중립형,59,40,20970717.70334928,84.69,15.31,33559.0,6068.0,실측(Comparitech)
