자치구_코드,자치구_코드_명,전체_점포_수,개업_점포_수,폐업_점포_수,당월_매출_금액,당월_매출_건수,카페1개당_평균매출,카페1개당_평균매출_억원
11740,강동구,931.0,25.0,28.0,16474020859,2317323,17694974.0698174,0.18
11710,송파구,1613.0,60.0,73.0,41641687029,5391065,25816296.98016119,0.26
11680,강남구,2561.0,68.0,84.0,106034950002,11888410,41403729.01288559,0.41
11650,서초구,1565.0,48.0,49.0,52797433809,6236506,33736379.430670924,0.34
11620,관악구,915.0,33.0,46.0,14309054414,2080153,15638310.834972678,0.16
11590,동작구,719.0,23.0,39.0,15274759511,2366665,21244449.945757996,0.21
11560,영등포구,1421.0,47.0,38.0,45835393006,5038694,32255730.475721322,0.32
11545,금천구,667.0,26.0,30.0,15191690907,2435515,22776148.28635682,0.23
11530,구로구,750.0,22.0,29.0,12591001308,1895675,16788001.744,0.17
11500,강서구,1270.0,51.0,47.0,16802898652,2528292,13230628.85984252,0.13
11470,양천구,674.0,17.0,23.0,10559638947,1811328,15667120.099406527,0.16
11440,마포구,2320.0,83.0,125.0,57135302880,6255754,24627285.724137932,0.25
11410,서대문구,885.0,35.0,25.0,18354016854,2232983,20739002.094915256,0.21
11380,은평구,762.0,29.0,29.0,7875882753,1145793,10335804.137795275,0.1
11350,노원구,809.0,26.0,16.0,15415802889,2352294,19055380.57972806,0.19
11320,도봉구,432.0,11.0,24.0,6057752183,923161,14022574.497685185,0.14
11305,강북구,540.0,13.0,21.0,7697478184,975780,14254589.22962963,0.14
11290,성북구,937.0,33.0,32.0,20491530633,2925271,21869296.299893275,0.22
11260,중랑구,652.0,19.0,32.0,7391749839,1141233,11337039.630368099,0.11
11230,동대문구,842.0,30.0,35.0,12202939358,1835802,14492802.087885985,0.14
11215,광진구,987.0,33.0,23.0,20275793665,2698818,20542850.724417426,0.21
11200,성동구,1026.0,44.0,29.0,20135613084,2187465,19625353.883040935,0.2
11170,용산구,1121.0,51.0,47.0,21826951029,2209489,19470964.343443353,0.19
11140,중구,1367.0,46.0,56.0,63300702618,7392952,46306293.063643016,0.46
11110,종로구,1567.0,54.0,48.0,63608671549,6023984,40592642.979578815,0.41
