행정동_코드,행정동_코드_명,당월_매출_금액,점포_수,자치구_코드,자치구명,카페1개당_평균매출,카페1개당_평균매출_억원
11110515,청운효자동,4724282512,118,11110,종로구,40036292.47457627,0.4
11110530,사직동,12509194587,176,11110,종로구,71074969.24431819,0.71
11110540,삼청동,7808131897,84,11110,종로구,92953951.15476191,0.93
11110550,부암동,647291074,39,11110,종로구,16597207.025641026,0.17
11110560,평창동,339155491,26,11110,종로구,13044441.961538462,0.13
11110570,무악동,63587754,7,11110,종로구,9083964.857142856,0.09
11110580,교남동,112411556,14,11110,종로구,8029396.857142857,0.08
11110600,가회동,6212643796,82,11110,종로구,75763948.73170732,0.76
11110615,종로1·2·3·4가동,24085303492,378,11110,종로구,63717734.105820104,0.64
11110630,종로5·6가동,2569709953,86,11110,종로구,29880348.290697675,0.3
11110640,이화동,5063785007,84,11110,종로구,60283154.8452381,0.6
11110650,혜화동,4860583565,105,11110,종로구,46291272.047619045,0.46
11110670,창신1동,625702518,24,11110,종로구,26070938.25,0.26
11110680,창신2동,116182787,14,11110,종로구,8298770.5,0.08
11110690,창신3동,45605567,6,11110,종로구,7600927.833333333,0.08
11110700,숭인1동,36619112,6,11110,종로구,6103185.333333333,0.06
11110710,숭인2동,345717244,17,11110,종로구,20336308.470588237,0.2
11140520,소공동,19985794489,124,11140,중구,161175762.0080645,1.61
11140540,회현동,8886575853,106,11140,중구,83835621.25471698,0.84
11140550,명동,20869742444,219,11140,중구,95295627.59817351,0.95
11140570,필동,3998462004,83,11140,중구,48174241.01204819,0.48
11140580,장충동,1941442285,23,11140,중구,84410534.13043478,0.84
11140590,광희동,3034736448,116,11140,중구,26161521.103448275,0.26
11140605,을지로동,5577810213,124,11140,중구,44982340.42741936,0.45
11140615,신당동,1016649345,48,11140,중구,21180194.6875,0.21
11140625,다산동,259147452,42,11140,중구,6170177.428571428,0.06
11140635,약수동,366121614,21,11140,중구,17434362.57142857,0.17
11140645,청구동,350136681,11,11140,중구,31830607.363636363,0.32
11140650,신당5동,87657196,16,11140,중구,5478574.75,0.05
11140665,동화동,217906747,21,11140,중구,10376511.761904761,0.1
11140670,황학동,1045743574,24,11140,중구,43572648.916666664,0.44
11140680,중림동,797434025,34,11140,중구,23453941.911764707,0.23
11560515,영등포본동,1041528457,26,11560,영등포구,40058786.807692304,0.4
11560535,영등포동,4869651358,84,11560,영등포구,57972039.97619048,0.58
11560540,여의동,24004630783,270,11560,영등포구,88906039.93703704,0.89
11560550,당산1동,1941663810,104,11560,영등포구,18669844.326923076,0.19
11560560,당산2동,4509870393,70,11560,영등포구,64426719.9,0.64
11560585,도림동,75661992,24,11560,영등포구,3152583.0,0.03
11560605,문래동,4130925913,122,11560,영등포구,33860048.46721312,0.34
11560610,양평1동,827805712,58,11560,영등포구,14272512.27586207,0.14
11560620,양평2동,2484299710,67,11560,영등포구,37079100.14925373,0.37
11560630,신길1동,435283614,21,11560,영등포구,20727791.14285714,0.21
11560650,신길3동,21454593,15,11560,영등포구,1430306.2,0.01
11560660,신길4동,146205885,10,11560,영등포구,14620588.5,0.15
11560670,신길5동,96023531,11,11560,영등포구,8729411.909090908,0.09
11560680,신길6동,733250422,32,11560,영등포구,22914075.6875,0.23
