자치구_코드,자치구_코드_명,당월_매출_금액,전체_점포_수,카페1개당_평균매출_억원,총_직장_인구_수,음식_지출_총금액,아파트_평균_시가
11740,강동구,16474020859,931.0,0.18,51554,23824064000,289229904
11710,송파구,41641687029,1613.0,0.26,409883,46164063000,357392146
11680,강남구,106034950002,2561.0,0.41,1079924,75384501000,740734978
11650,서초구,52797433809,1565.0,0.34,434315,45889024000,699516368
11620,관악구,14309054414,915.0,0.16,41999,29295290000,189415238
11590,동작구,15274759511,719.0,0.21,45111,23234551000,296605721
11560,영등포구,45835393006,1421.0,0.32,400232,45197907000,358498150
11545,금천구,15191690907,667.0,0.23,131583,12702481000,167945971
11530,구로구,12591001308,750.0,0.17,122194,21273248000,196628251
11500,강서구,16802898652,1270.0,0.13,73335,34096615000,198685944
11470,양천구,10559638947,674.0,0.16,85678,20041747000,258455197
11440,마포구,57135302880,2320.0,0.25,120344,52992008000,289648150
11410,서대문구,18354016854,885.0,0.21,35863,18739548000,236239737
11380,은평구,7875882753,762.0,0.1,31146,20844205000,187229617
11350,노원구,15415802889,809.0,0.19,28109,27307183000,264515736
11320,도봉구,6057752183,432.0,0.14,20112,12148328000,169896516
11305,강북구,7697478184,540.0,0.14,14740,16097844000,151355915
11290,성북구,20491530633,937.0,0.22,68606,21205434000,240570167
11260,중랑구,7391749839,652.0,0.11,21334,16777640000,188352147
11230,동대문구,12202939358,842.0,0.14,50705,20553217000,276363203
11215,광진구,20275793665,987.0,0.21,56058,29943471000,240830723
11200,성동구,20135613084,1026.0,0.2,73657,24923244000,459388770
11170,용산구,21826951029,1121.0,0.19,176024,36443894000,578405236
11140,중구,63300702618,1367.0,0.46,406487,36735815000,292261797
11110,종로구,63608671549,1567.0,0.41,223590,45118628000,271719514
