행정동_코드,행정동_코드_명,당월_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_17~21_매출_금액,아침_비중,점심_비중,저녁_비중,컨셉_적합도,분기초_매출,점포_수,자치구_코드,성장률,카페1개당_평균매출_억원
11110515,청운효자동,4724282512,457073861,1568177169,839948375,9.7,33.2,17.8,60.7,4535266422,118,11110,4.2,0.4
11110530,사직동,12509194587,1695888917,4823135031,2077846834,13.6,38.6,16.6,68.8,9462371274,176,11110,32.2,0.71
11110540,삼청동,7808131897,617750071,2814900394,1344871409,7.9,36.1,17.2,61.2,5548781022,84,11110,40.7,0.93
11110550,부암동,647291074,52790806,206577284,89481783,8.2,31.9,13.8,53.9,481061229,39,11110,34.6,0.17
11110560,평창동,339155491,11527193,116423986,112867342,3.4,34.3,33.3,71.0,241758461,26,11110,40.3,0.13
11110570,무악동,63587754,12307677,20335654,8416615,19.4,32.0,13.2,64.6,54907598,7,11110,15.8,0.09
11110580,교남동,112411556,43397904,48484389,1986853,38.6,43.1,1.8,83.5,138569813,14,11110,-18.9,0.08
11110600,가회동,6212643796,821005930,2135115698,947045112,13.2,34.4,15.2,62.8,4495728193,82,11110,38.2,0.76
11110615,종로1·2·3·4가동,24085303492,2902660110,9027872747,4864778753,12.1,37.5,20.2,69.8,20926268155,378,11110,15.1,0.64
11110630,종로5·6가동,2569709953,521888634,1127095197,318597200,20.3,43.9,12.4,76.6,2657462632,86,11110,-3.3,0.3
11110640,이화동,5063785007,442162904,1411963323,1542482752,8.7,27.9,30.5,67.1,3734865203,84,11110,35.6,0.6
11110650,혜화동,4860583565,202444276,1400341678,1488034142,4.2,28.8,30.6,63.6,4222705626,105,11110,15.1,0.46
11110670,창신1동,625702518,91413994,171890400,150544375,14.6,27.5,24.1,66.2,594817901,24,11110,5.2,0.26
11110680,창신2동,116182787,19604065,33398244,27605811,16.9,28.7,23.8,69.4,113349245,14,11110,2.5,0.08
11110690,창신3동,45605567,8517591,16419674,5738445,18.7,36.0,12.6,67.3,43715698,6,11110,4.3,0.08
11110700,숭인1동,36619112,6068511,10839341,6420955,16.6,29.6,17.5,63.7,33191563,6,11110,10.3,0.06
11110710,숭인2동,345717244,61998149,129107450,63756154,17.9,37.3,18.4,73.6,356058128,17,11110,-2.9,0.2
11140520,소공동,19985794489,4425378394,9004101652,1535467041,22.1,45.1,7.7,74.9,18240423734,124,11140,9.6,1.61
11140540,회현동,8886575853,1882040810,4340824247,737029678,21.2,48.8,8.3,78.3,8412495510,106,11140,5.6,0.84
11140550,명동,20869742444,3635115214,8483147950,3308246451,17.4,40.6,15.9,73.9,22027614021,219,11140,-5.3,0.95
11140570,필동,3998462004,647326546,1863704448,562217041,16.2,46.6,14.1,76.9,3416449852,83,11140,17.0,0.48
11140580,장충동,1941442285,89419076,224155470,688268986,4.6,11.5,35.5,51.6,530028169,23,11140,266.3,0.84
11140590,광희동,3034736448,403626219,1113800826,562508666,13.3,36.7,18.5,68.5,2892728930,116,11140,4.9,0.26
11140605,을지로동,5577810213,828972582,2055267543,1231203793,14.9,36.8,22.1,73.8,5273432533,124,11140,5.8,0.45
11140615,신당동,1016649345,200837009,260893363,186551568,19.8,25.7,18.3,63.8,861642568,48,11140,18.0,0.21
11140625,다산동,259147452,37875067,91382458,61273020,14.6,35.3,23.6,73.5,285143721,42,11140,-9.1,0.06
11140635,약수동,366121614,38295835,142231872,79329042,10.5,38.8,21.7,71.0,328847677,21,11140,11.3,0.17
11140645,청구동,350136681,35245087,114859474,79718962,10.1,32.8,22.8,65.7,261745822,11,11140,33.8,0.32
11140650,신당5동,87657196,13363729,20742440,23379116,15.2,23.7,26.7,65.6,80925559,16,11140,8.3,0.05
11140665,동화동,217906747,26096901,68878583,55926417,12.0,31.6,25.7,69.3,166041785,21,11140,31.2,0.1
11140670,황학동,1045743574,212573803,317854168,226513669,20.3,30.4,21.7,72.4,655710190,24,11140,59.5,0.44
11140680,중림동,797434025,134699775,408655998,96216806,16.9,51.2,12.1,80.2,682432124,34,11140,16.9,0.23
11170510,후암동,871129126,99424952,433486045,118971080,11.4,49.8,13.7,74.9,874253116,61,11170,-0.4,0.14
11170520,용산2가동,1246789178,28150580,230746567,435041827,2.3,18.5,34.9,55.7,1014272599,76,11170,22.9,0.16
11170530,남영동,4411048423,550150144,1479239129,948892907,12.5,33.5,21.5,67.5,3798302443,72,11170,16.1,0.61
11170555,청파동,2833570000,421918493,1008204674,598599335,14.9,35.6,21.1,71.6,1691653029,78,11170,67.5,0.36
11170560,원효로1동,951474325,175448021,424360777,127764899,18.4,44.6,13.4,76.4,958083538,55,11170,-0.7,0.17
11170570,원효로2동,434625080,105508905,184119274,49549878,24.3,42.4,11.4,78.1,279031260,11,11170,55.8,0.4
11170580,효창동,373127694,82989331,119730607,57978320,22.2,32.1,15.5,69.8,388096992,23,11170,-3.9,0.16
11170590,용문동,190319339,28036961,70457552,36844475,14.7,37.0,19.4,71.1,95796796,15,11170,98.7,0.13
11170625,한강로동,5004165962,866209339,2139364128,674716588,17.3,42.8,13.5,73.6,5372479018,241,11170,-6.9,0.21
11170630,이촌1동,461123036,87250003,172822558,48824297,18.9,37.5,10.6,67.0,591771883,11,11170,-22.1,0.42
11170640,이촌2동,68417998,11904783,21576029,8849897,17.4,31.5,12.9,61.8,37478741,5,11170,82.6,0.14
11170650,이태원1동,2957089135,229438809,992212648,649164360,7.8,33.6,22.0,63.4,2792637945,58,11170,5.9,0.51
11170660,이태원2동,1118930068,160679983,409809810,189421738,14.4,36.6,16.9,67.9,896848361,61,11170,24.8,0.18
11170685,한남동,2824429864,360549076,887965567,608033921,12.8,31.4,21.5,65.7,3285402343,136,11170,-14.0,0.21
11170690,서빙고동,10278578,316934,5053122,1531189,3.1,49.2,14.9,67.2,24605553,23,11170,-58.2,0.0
11170700,보광동,137931201,13865788,55232417,25822042,10.1,40.0,18.7,68.8,160036089,10,11170,-13.8,0.14
11200520,왕십리2동,109829539,12042748,36666886,22120036,11.0,33.4,20.1,64.5,94938117,16,11200,15.7,0.07
11200535,왕십리도선동,585266283,64924660,197485279,148088201,11.1,33.7,25.3,70.1,566458641,45,11200,3.3,0.13
11200540,마장동,702638667,114249285,243304385,147419886,16.3,34.6,21.0,71.9,566139136,23,11200,24.1,0.31
11200550,사근동,1667337497,217082630,579296761,354134916,13.0,34.7,21.2,68.9,1490619876,58,11200,11.9,0.29
11200560,행당1동,852792041,88413920,292233926,231339861,10.4,34.3,27.1,71.8,868472411,30,11200,-1.8,0.28
11200570,행당2동,7916615,666250,4021994,852407,8.4,50.8,10.8,70.0,7255263,10,11200,9.1,0.01
11200580,응봉동,90873182,17486208,25528360,18825175,19.2,28.1,20.7,68.0,95671758,5,11200,-5.0,0.18
11200590,금호1가동,37522969,3463062,11723292,3903700,9.2,31.2,10.4,50.8,66870715,14,11200,-43.9,0.03
11200615,금호2·3가동,148934196,26175190,49822752,31388863,17.6,33.5,21.1,72.2,159278126,19,11200,-6.5,0.08
11200620,금호4가동,118805490,10736166,37187945,36431797,9.0,31.3,30.7,71.0,123995929,15,11200,-4.2,0.08
11200645,옥수동,274703140,60121717,94314333,49018793,21.9,34.3,17.8,74.0,269147302,18,11200,2.1,0.15
11200650,성수1가1동,919803811,149905840,430168942,105044539,16.3,46.8,11.4,74.5,908437293,57,11200,1.3,0.16
11200660,성수1가2동,5629055591,518307681,2058862536,1141630989,9.2,36.6,20.3,66.1,5711080132,181,11200,-1.4,0.31
11200670,성수2가1동,2973863012,330210680,986775645,623711467,11.1,33.2,21.0,65.3,2781733046,98,11200,6.9,0.3
