자치구_코드,자치구_코드_명,전체_점포_수,개업_점포_수,폐업_점포_수,당월_매출_금액,당월_매출_건수,카페1개당_평균매출,카페1개당_평균매출_억원,아침_매출_비중,점심_매출_비중,저녁_매출_비중,컨셉_적합도,총_직장_인구_수,총_상주인구_수,총_가구_수,총_유동인구_수,집객시설_수,지하철_역_수,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,log_직장인구,예측_카페1개당매출,잔차,균형점수_CV,균형점수_엔트로피,순위_기존합계,순위_CV,순위_엔트로피
11740,강동구,931.0,25.0,28.0,16474020859,2317323,17694974.0698174,0.18,18.1,34.1,18.2,70.4,51554,456800,202602,106404596,2063,15,다이나믹,111,50,10.850385081003184,18346503.297764733,-651529.227947332,68.0,95.6,8,3,1
11710,송파구,1613.0,60.0,73.0,41641687029,5391065,25816296.98016119,0.26,15.6,34.7,19.6,69.9,409883,653369,285415,119374865,2810,30,상권축소,119,52,12.92362703210225,33038619.04085909,-7222322.060697898,64.7,94.6,10,10,8
11680,강남구,2561.0,68.0,84.0,106034950002,11888410,41403729.01288559,0.41,15.9,39.2,17.4,72.5,1079924,539297,237639,145387600,4084,31,다이나믹,111,50,13.892401226253922,39903877.86019465,1499851.1526909396,55.9,91.7,6,20,18
11650,서초구,1565.0,48.0,49.0,52797433809,6236506,33736379.430670924,0.34,16.9,40.9,16.4,74.2,434315,406675,169277,99034836,2779,21,정체,125,56,12.981525356264031,33448917.935045157,287461.4956257716,53.8,90.9,5,22,22
11620,관악구,915.0,33.0,46.0,14309054414,2080153,15638310.834972678,0.16,9.8,25.7,27.5,63.0,41999,479790,283003,126852940,2255,4,다이나믹,110,51,10.645401087458245,16893875.659660354,-1255564.8246876765,62.1,92.6,25,14,16
11590,동작구,719.0,23.0,39.0,15274759511,2366665,21244449.945758,0.21,14.8,32.6,22.2,69.6,45111,377821,186078,79482451,1934,17,정체,121,57,10.716881398190427,17400423.86937262,3844026.076385379,68.5,95.5,12,2,2
11560,영등포구,1421.0,47.0,38.0,45835393006,5038694,32255730.47572132,0.32,19.6,40.7,15.4,75.7,400232,373300,189447,107551419,2400,20,정체,119,54,12.899799657955128,32869765.358037382,-614034.8823160641,56.1,91.7,2,19,18
11545,금천구,667.0,26.0,30.0,15191690907,2435515,22776148.28635682,0.23,24.3,42.0,12.0,78.3,131583,226388,119576,34978174,1320,4,상권축소,117,52,11.787393110197678,24986649.86138037,-2210501.575023547,52.8,89.6,1,23,23
11530,구로구,750.0,22.0,29.0,12591001308,1895675,16788001.744,0.17,19.1,39.1,16.3,74.5,122194,391809,183638,79329375,2192,13,상권축소,126,53,11.713365224677862,24462048.156452924,-7674046.412452925,59.1,92.8,4,17,14
11500,강서구,1270.0,51.0,47.0,16802898652,2528292,13230628.85984252,0.13,15.9,36.2,19.8,71.9,73335,560995,273059,114205875,2714,22,다이나믹,101,49,11.202793263680856,20843858.61414213,-7613229.754299615,63.3,94.1,7,12,12
11470,양천구,674.0,17.0,23.0,10559638947,1811328,15667120.099406527,0.16,16.0,33.5,20.3,69.8,85678,435645,180421,75372551,1762,6,다이나믹,116,51,11.358351362178784,21946227.58110985,-6279107.481703324,68.0,95.5,11,3,2
11440,마포구,2320.0,83.0,125.0,57135302880,6255754,24627285.72413793,0.25,10.0,31.0,23.9,64.9,120344,362701,180459,111700178,2232,26,다이나믹,99,50,11.69810958737766,24353938.445075333,273347.2790625952,59.7,91.8,24,16,17
11410,서대문구,885.0,35.0,25.0,18354016854,2232983,20739002.094915256,0.21,11.0,31.7,23.3,66.0,35863,305725,146397,100020368,1909,8,상권확장,116,54,10.487461402332547,15774629.479510218,4964372.615405038,61.4,92.7,22,15,15
11380,은평구,762.0,29.0,29.0,7875882753,1145793,10335804.137795275,0.1,12.9,30.1,23.1,66.1,31146,466475,215511,94584761,2144,13,다이나믹,113,53,10.346441105055284,14775283.248538584,-4439479.110743308,67.9,95.1,21,5,5
11350,노원구,809.0,26.0,16.0,15415802889,2352294,19055380.57972806,0.19,12.5,31.0,23.8,67.3,28109,498037,217800,91576369,2586,15,다이나믹,111,52,10.243845088739151,14048232.290642455,5007148.289085604,66.1,94.4,17,7,9
11320,도봉구,432.0,11.0,24.0,6057752183,923161,14022574.497685185,0.14,14.2,33.4,21.8,69.4,20112,306437,137870,61099850,1432,8,다이나믹,109,52,9.909071930830027,11675848.3143899,2346726.1832952853,65.9,94.7,13,9,7
11305,강북구,540.0,13.0,21.0,7697478184,975780,14254589.22962963,0.14,10.8,30.4,23.8,65.0,14740,287918,143436,88068472,1843,11,다이나믹,115,50,9.598320165743328,9473692.942411063,4780896.287218565,62.4,93.0,23,13,13
11290,성북구,937.0,33.0,32.0,20491530633,2925271,21869296.299893275,0.22,11.9,29.8,25.1,66.8,68606,425160,196499,119201823,2380,14,상권확장,114,54,11.136135273446111,20371483.98019661,1497812.3196966648,66.0,94.2,19,8,11
11260,중랑구,652.0,19.0,32.0,7391749839,1141233,11337039.6303681,0.11,13.0,29.2,24.1,66.3,21334,381547,187708,93507216,1840,15,다이나믹,112,50,9.968057323185429,12093850.762766913,-756811.1323988121,69.4,95.4,20,1,4
11230,동대문구,842.0,30.0,35.0,12202939358,1835802,14492802.087885983,0.14,14.9,34.7,20.8,70.4,50705,340101,171946,105885189,1987,15,정체,125,55,10.833779804046095,18228829.30854687,-3736027.220660888,64.6,94.4,8,11,9
11215,광진구,987.0,33.0,23.0,20275793665,2698818,20542850.724417426,0.21,12.9,30.6,23.7,67.2,56058,334942,169703,88590864,1602,11,다이나믹,112,52,10.93414214802101,18940051.254034694,1602799.4703827277,67.5,94.9,18,6,6
