행정동_코드,행정동_코드_명,당월_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_17~21_매출_금액,아침_비중,점심_비중,저녁_비중,컨셉_적합도,분기초_매출,점포_수,자치구_코드,성장률,카페1개당_평균매출_억원,균형점수_CV,균형점수_엔트로피,순위_기존합계,순위_CV,순위_엔트로피,순위변화_엔트로피
11140520,소공동,19985794489,4425378394,9004101652,1535467041,22.1,45.1,7.7,74.9,18240423734,124,11140,9.6,1.61,38.3,81.9,4,18,18,-14
11710670,잠실2동,3225873794,445240720,1097715780,605157985,13.8,34.0,18.8,66.6,2568531364,24,11710,25.6,1.34,61.3,93.4,16,6,6,10
11680750,수서동,2388657490,473988635,810908345,505024283,19.8,33.9,21.1,74.8,2301398575,21,11680,3.8,1.14,74.5,97.2,5,1,1,4
11650531,서초4동,5984927009,887317588,2144869882,1270245183,14.8,35.8,21.2,71.8,5060407702,58,11650,18.3,1.03,63.3,94.0,10,4,4,6
11680580,삼성1동,11212244036,1763868400,4395915557,1841803661,15.7,39.2,16.4,71.3,7690804420,110,11680,45.8,1.02,54.1,91.0,12,13,13,-1
11140550,명동,20869742444,3635115214,8483147950,3308246451,17.4,40.6,15.9,73.9,22027614021,219,11140,-5.3,0.95,54.1,91.0,6,13,13,-7
11110540,삼청동,7808131897,617750071,2814900394,1344871409,7.9,36.1,17.2,61.2,5548781022,84,11110,40.7,0.93,42.5,84.9,19,17,17,2
11740540,명일2동,2004207796,331877929,671172050,409652577,16.6,33.5,20.4,70.5,1875969259,22,11740,6.8,0.91,69.2,95.8,13,2,2,11
11560540,여의동,24004630783,5562578642,10939068761,2453257989,23.2,45.6,10.2,79.0,20833173842,270,11560,15.2,0.89,44.5,85.7,1,16,16,-15
11680640,역삼1동,35327445013,4638154364,13291899264,7542428499,13.1,37.6,21.4,72.1,35910959271,400,11680,-1.6,0.88,57.7,91.9,9,9,9,0
11710710,잠실6동,7178615162,1437363791,2794645985,1043553821,20.0,38.9,14.5,73.4,6680820313,82,11710,7.5,0.88,57.3,92.0,8,10,8,0
11140540,회현동,8886575853,1882040810,4340824247,737029678,21.2,48.8,8.3,78.3,8412495510,106,11140,5.6,0.84,35.3,80.7,2,19,19,-17
11140580,장충동,1941442285,89419076,224155470,688268986,4.6,11.5,35.5,51.6,530028169,23,11140,266.3,0.84,23.0,73.5,20,20,20,0
11215840,자양3동,3494274610,337210528,1086580333,914781004,9.7,31.1,26.2,67.0,3741419642,43,11215,-6.6,0.81,59.0,91.3,15,8,10,5
11680630,대치4동,7909476801,1689587082,2925407957,1217115990,21.4,37.0,15.4,73.8,7673823286,100,11680,3.1,0.79,63.0,93.9,7,5,5,2
11710647,위례동,2170671378,308928170,770248262,406121328,14.2,35.5,18.7,68.4,2786077462,28,11710,-22.1,0.78,59.8,93.0,14,7,7,7
11650590,방배본동,3863892730,698234184,1338373436,738184458,18.1,34.6,19.1,71.8,4080644141,51,11650,-5.3,0.76,68.4,95.7,10,3,3,7
11110600,가회동,6212643796,821005930,2135115698,947045112,13.2,34.4,15.2,62.8,4495728193,82,11110,38.2,0.76,54.3,91.1,18,12,12,6
11680610,대치2동,6553841417,1327793160,2771356679,1003520599,20.3,42.3,15.3,77.9,5875110592,90,11680,11.6,0.73,54.8,91.2,3,11,11,-8
11290575,동선동,8444569220,749003005,1965115928,2867555789,8.9,23.3,34.0,66.2,7102433257,115,11290,18.9,0.73,53.4,89.2,17,15,15,2
