"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","총_유동인구_수","남성_유동인구_수","여성_유동인구_수","연령대_10_유동인구_수","연령대_20_유동인구_수","연령대_30_유동인구_수","연령대_40_유동인구_수","연령대_50_유동인구_수","연령대_60_이상_유동인구_수","시간대_00_06_유동인구_수","시간대_06_11_유동인구_수","시간대_11_14_유동인구_수","시간대_14_17_유동인구_수","시간대_17_21_유동인구_수","시간대_21_24_유동인구_수","월요일_유동인구_수","화요일_유동인구_수","수요일_유동인구_수","목요일_유동인구_수","금요일_유동인구_수","토요일_유동인구_수","일요일_유동인구_수"
"20261","U","관광특구","3001496","강남 마이스 관광특구","105884","52388","53495","7409","20772","28763","24912","14801","9225","5596","19935","25619","26647","22393","5695","14763","15785","16795","17576","17048","12865","11053"
"20261","U","관광특구","3001495","잠실 관광특구","4538965","2123493","2415471","515714","1017772","1099435","789112","515248","601684","872708","808831","640935","692252","967578","556660","611059","617228","629137","641367","660762","721685","657726"
"20261","U","관광특구","3001494","종로?청계 관광특구","8060412","4253830","3806583","361054","1463606","1587928","1565191","1379526","1703107","894855","1553977","1668240","1700984","1595888","646468","1207383","1254955","1269007","1282773","1304458","990410","751425"
"20261","U","관광특구","3001493","동대문패션타운 관광특구","3054932","1429701","1625231","171390","543697","646760","631263","489295","572528","518847","596540","495334","504653","584166","355394","465002","475995","484119","472944","451968","356770","348136"
"20261","U","관광특구","3001492","명동 남대문 북창동 다동 무교동 관광특구","7038534","3342610","3695924","355206","1226554","1631238","1630987","1149499","1045050","418078","1441417","1726699","1726109","1357797","368435","1063947","1121108","1128963","1145397","1169253","791324","618542"
"20261","U","관광특구","3001491","이태원 관광특구","2049730","1076477","973254","141627","483690","499315","385078","254017","286004","469867","360698","275410","294549","384814","264391","269525","259869","266938","278080","300025","353834","321462"
"20261","R","전통시장","3130327","평화시장(남평화시장, 제일평화시장, 신평화패션타운)","55757","25775","29982","2207","7828","11916","12810","9922","11073","11839","11101","8545","8228","8962","7080","8858","9057","9089","8893","8051","5650","6158"
"20261","R","전통시장","3130326","고덕 골목형상점가","91548","41227","50322","17906","7603","14594","19952","11006","20486","20304","20265","11336","11413","16768","11462","12916","12827","13039","13074","13177","13500","13015"
"20261","R","전통시장","3130325","명일전통시장","293773","132983","160791","52631","30259","38454","49437","43373","79621","57241","56096","40402","41821","61415","36800","40638","40672","41875","40995","42559","42865","44169"
"20261","R","전통시장","3130324","길동복조리시장","586369","262209","324160","80605","65494","85608","95435","93963","165264","156838","116064","66146","65337","98793","83189","83164","81904","83135","83552","83113","85739","85763"
"20261","R","전통시장","3130323","둔촌역전통시장","275944","130015","145927","32899","31427","41994","47724","46833","75068","85772","52445","29787","29863","42453","35625","39354","39412","39088","39127","39940","40088","38936"
"20261","R","전통시장","3130322","고분다리전통시장","108008","52948","55061","12736","13530","14947","15625","18153","33019","30512","21340","11605","11729","17826","14998","15374","15032","15124","15209","15242","15814","16213"
"20261","R","전통시장","3130321","장신구 특화거리 상점가","369717","168062","201656","75610","44155","50934","63475","55190","80352","100254","79254","45849","42767","55971","45624","51542","52656","53814","53866","54257","52209","51375"
"20261","R","전통시장","3130320","암사종합시장","253500","118125","135375","24579","29714","36112","41282","45852","75961","48726","44475","34076","38552","55161","32508","35845","35502","35458","35604","36654","38310","36126"
"20261","R","전통시장","3130319","성내전통시장","661328","317766","343562","124544","70699","100516","110271","93764","161536","185457","134621","72129","73993","109854","85273","92634","88978","90988","90290","89780","102346","106314"
"20261","R","전통시장","3130318","로데오거리상점가","535159","243041","292117","50986","107025","113651","83090","77407","103000","92468","94655","76705","84802","119211","67320","70593","70609","72110","72319","77882","87678","83966"
"20261","R","전통시장","3130317","마천중앙시장","609187","288487","320699","90687","56419","74764","84660","101044","201615","168141","122177","69591","70805","99976","78495","86254","84509","84400","84067","84175","90906","94875"
"20261","R","전통시장","3130316","마천시장","75805","36807","38997","10743","7077","9660","10727","12942","24656","22624","15301","8096","7845","11648","10292","10868","10702","10651","10553","10596","11102","11337"
"20261","R","전통시장","3130315","문정동 로데오거리 상점가(문정동 로데오거리)","633177","307075","326101","83213","94937","130945","106381","89982","127719","147195","129886","85647","85952","109815","74682","92391","91989","93323","93610","93139","84940","83782"
"20261","R","전통시장","3130314","풍납시장","1191440","547478","643963","135489","148384","199489","169852","201152","337076","301065","241355","140775","143366","208066","156812","167172","167526","168061","168301","168120","176435","175825"
"20261","R","전통시장","3130313","방이시장","1047917","480200","567717","129735","143988","220319","189478","144620","219776","297469","215351","115020","114617","164995","140464","149902","146875","150442","149314","150262","150891","150231"
"20261","R","전통시장","3130312","석촌시장","267363","133754","133608","49179","28708","49069","50171","38167","52071","55361","51087","37081","38383","52473","32979","37442","37402","38081","38169","38847","39366","38056"
"20261","R","전통시장","3130311","새마을시장","906859","422491","484366","147819","136578","157989","163621","128702","172150","208635","167359","109990","119825","181622","119429","124685","124728","125854","126570","130456","141050","133513"
"20261","R","전통시장","3130310","강남개포시장","199234","90119","109115","45496","17455","21414","35019","30685","49164","18643","39267","36603","39401","46944","18374","27717","28242","29246","28263","29131","28177","28459"
