"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권배후지_코드","상권배후지_코드_명","총_유동인구_수","남성_유동인구_수","여성_유동인구_수","연령대_10_유동인구_수","연령대_20_유동인구_수","연령대_30_유동인구_수","연령대_40_유동인구_수","연령대_50_유동인구_수","연령대_60_이상_유동인구_수","시간대_00_06_유동인구_수","시간대_06_11_유동인구_수","시간대_11_14_유동인구_수","시간대_14_17_유동인구_수","시간대_17_21_유동인구_수","시간대_21_24_유동인구_수","월요일_유동인구_수","화요일_유동인구_수","수요일_유동인구_수","목요일_유동인구_수","금요일_유동인구_수","토요일_유동인구_수","일요일_유동인구_수"
"20261","A","골목상권","3111090","강일동주민센터","568720","265962","302759","122262","49519","77459","104439","83123","131918","162633","118819","58669","58028","89238","81334","81426","81319","81312","81305","81432","80242","81685"
"20261","A","골목상권","3111089","상일여고(상일초등학교)","1459272","705836","753435","278452","145243","199600","292514","225198","318265","364426","314768","183616","172882","239788","183792","211253","212973","213465","213785","212644","197851","197300"
"20261","A","골목상권","3111088","고덕동성당","1033839","471745","562095","201113","94176","159608","207982","131992","238968","261562","222026","119322","119301","176871","134758","146548","144978","145963","146545","146923","151907","150975"
"20261","A","골목상권","3111087","고덕중학교(고덕2동주민센터)","815873","393537","422337","183838","87926","118896","160733","105069","159410","225100","178163","100801","91927","117507","102374","116958","118447","118777","118908","116991","112233","113560"
"20261","A","골목상권","3111086","한영중고","687324","323704","363621","197515","64763","68280","109923","94995","151849","188642","150719","81397","78043","102841","85682","99939","98702","98902","99455","99011","95242","96072"
"20261","A","골목상권","3111085","묘곡초등학교(고덕아이파크아파트)","1562347","771539","790807","480611","127388","163473","280843","196821","313212","407336","328912","184136","189961","256841","195161","219067","217940","220046","220334","217881","233337","233740"
"20261","A","골목상권","3111084","길동신동아아파트","2946184","1331665","1614520","571201","276098","424557","454174","457807","762348","942569","622008","288287","277907","414513","400901","419918","413481","413065","414283","410219","429194","446022"
"20261","A","골목상권","3111083","GS강동자이아파트","5621608","2581820","3039788","1053224","539726","771807","888594","886898","1481360","1658051","1170210","591555","578809","859214","763770","800733","791003","790014","790078","786074","816660","847047"
"20261","A","골목상권","3111082","중앙보훈병원","1457361","673971","783391","280795","157907","203165","211377","221297","382819","432939","304815","147863","142780","222486","206478","206351","205393","206155","204933","204311","209104","221112"
"20261","A","골목상권","3111081","둔촌푸르지오아파트","1965390","909213","1056177","339019","209137","275519","294652","314906","532154","578544","406232","202166","196794","303846","277809","280659","278245","279242","277738","277706","280179","291621"
"20261","A","골목상권","3111080","굽은다리역 3번","3499061","1569733","1929327","585672","364986","458295","566496","529207","994405","818604","711859","427506","433356","650190","457547","477360","478356","491138","482757","491640","518831","558979"
"20261","A","골목상권","3111079","둔촌고등학교(둔촌중학교)","3601909","1682353","1919556","732326","389025","527755","553128","527172","872502","1002001","760436","401294","386809","566113","485256","511146","507881","512954","511258","510442","514715","533512"
"20261","A","골목상권","3111078","굽은다리역 4번","11386670","5128503","6258165","1681591","1266516","1803384","1831825","1756901","3046452","2999685","2264197","1293314","1329980","1955442","1544052","1597398","1590262","1601837","1602455","1600285","1681034","1713397"
"20261","A","골목상권","3111077","길동주민센터(강동도서관)","14557484","6646596","7910888","2066038","1735427","2283763","2398423","2302453","3771380","3713587","2909449","1706216","1738176","2520901","1969154","2052904","2044891","2061192","2063397","2067416","2125370","2142314"
"20261","A","골목상권","3111076","둔촌2동주민센터","3524132","1638776","1885356","602772","420955","516111","545345","555777","883173","965204","740574","404981","394025","557256","462091","504729","499024","504004","502096","502496","499590","512192"
"20261","A","골목상권","3111075","굽은다리역 2번","5723528","2607184","3116343","939683","624910","804296","916878","906850","1530911","1581431","1166988","643548","642408","932379","756772","810128","803808","805696","804811","806685","838389","854012"
"20261","A","골목상권","3111074","명일역 1번","4042990","1834270","2208719","741713","418792","560535","658826","625411","1037713","1247457","835496","417082","402980","596785","543189","575325","568780","568161","568254","566783","592338","603350"
"20261","A","골목상권","3111073","둔촌동역 1번(한산중학교)","6652121","3092477","3559644","1078552","855362","1053776","1105419","983725","1575288","1812719","1389164","770876","749849","1057287","872226","946522","938960","948437","945607","948091","955663","968840"
"20261","A","골목상권","3111072","굽은다리역 1번(십자성마을)","11489614","5272128","6217487","1633474","1361297","1845979","1878690","1735127","3035046","3128777","2295615","1284997","1319197","1918435","1542594","1619733","1612782","1619628","1616221","1604041","1686872","1730339"
"20261","A","골목상권","3111071","천동초등학교","7250356","3300792","3949564","850904","926015","1268877","1220115","1111796","1872649","1822116","1391468","856014","892159","1295659","992939","1015756","1021245","1027687","1027593","1029404","1060031","1068639"
"20261","A","골목상권","3111070","천호초등학교","8609612","4112151","4497462","1436753","907619","1295766","1569399","1366893","2033182","2377779","1777450","949502","953301","1384616","1166963","1228267","1220479","1222170","1220575","1206787","1239445","1271889"
"20261","A","골목상권","3111069","천호1동주민센터","10999276","5241086","5758190","1831782","1194847","1654567","1931586","1696372","2690124","3037682","2257849","1210023","1218659","1785283","1489783","1568555","1556198","1557241","1554226","1535763","1587565","1639728"
"20261","A","골목상권","3111068","강동성심병원","4180758","1936813","2243945","367771","697777","858440","733000","614202","909569","1172268","871440","483735","458062","634763","560488","595681","595044","598850","599367","604281","595682","591853"
"20261","A","골목상권","3111067","강동구립성내도서관","8751237","4032466","4718771","1045851","1229823","1525963","1506083","1328466","2115051","2481151","1833151","992505","955023","1339410","1149998","1247983","1237657","1247442","1244141","1248729","1259651","1265631"
"20261","A","골목상권","3111066","암사동성당(효정하나플러스아파트)","9884165","4720836","5163331","1595434","1043542","1505511","1779224","1597143","2363312","2751261","2028021","1071669","1084165","1607355","1341694","1402660","1390448","1390165","1388981","1374126","1443370","1494417"
"20261","A","골목상권","3111065","천일초등학교","5253740","2496322","2757418","798009","631103","817786","827595","787739","1391506","1561393","1085153","545990","538722","808106","714377","748686","737987","736067","736647","727091","765369","801893"
"20261","A","골목상권","3111064","둔촌동역 4번","3885003","1800427","2084577","611971","473764","549086","655917","640752","953516","1114592","792523","438738","429055","605463","504631","547992","544595","549399","548145","553608","564408","576856"
"20261","A","골목상권","3111063","강동구립 천호도서관","7106568","3323058","3783509","844586","1086250","1381027","1104016","1028771","1661916","2016816","1465483","771016","761545","1125807","965900","1002253","991147","994131","992225","999066","1051562","1076180"
"20261","A","골목상권","3111062","둔촌동역 3번(성내3동주민센터)","3131266","1468171","1663096","588328","380900","451525","538500","486903","685110","755863","631858","411586","408392","541120","382449","435209","442255","445872","446036","453131","445611","463152"
"20261","A","골목상권","3111061","암사역 1번","9320465","4417913","4902551","1393246","1030485","1423215","1594825","1512423","2366268","2622737","1892332","993576","996601","1526986","1288233","1317777","1302337","1302705","1302055","1300241","1378107","1417241"
"20261","A","골목상권","3111060","암사역 2번(서울강동초등학교)","11645789","5576430","6069359","1817347","1259547","1796030","2053536","1859488","2859839","3097572","2367347","1309849","1334127","1960170","1576723","1657956","1645303","1646393","1646349","1643193","1687905","1718689"
