"기준_년분기_코드","서울시_코드","서울시_코드_명","총_유동인구_수","남성_유동인구_수","여성_유동인구_수","연령대_10_유동인구_수","연령대_20_유동인구_수","연령대_30_유동인구_수","연령대_40_유동인구_수","연령대_50_유동인구_수","연령대_60_이상_유동인구_수","시간대_00_06_유동인구_수","시간대_06_11_유동인구_수","시간대_11_14_유동인구_수","시간대_14_17_유동인구_수","시간대_17_21_유동인구_수","시간대_21_24_유동인구_수","월요일_유동인구_수","화요일_유동인구_수","수요일_유동인구_수","목요일_유동인구_수","금요일_유동인구_수","토요일_유동인구_수","일요일_유동인구_수"
"20261","11","서울시","2293860082","1076022403","1217837675","340642603","360335250","384285073","383521126","341930254","483145779","585067856","473794288","280630810","280949111","382194610","291223398","326266094","326947133","328787607","329012829","329638488","327487558","325720377"
"20254","11","서울시","2272095312","1064822451","1207272865","336310618","363106318","378983737","376969220","337233543","479491888","582361753","469102932","276430560","276962258","378183166","289054640","323471810","323860317","326057787","326367838","326224775","323509509","322603282"
"20253","11","서울시","2270642900","1064606763","1206036135","335541153","361935215","380643925","376678970","336644231","479199416","582049939","469018906","276556848","276866322","377082690","289068191","325295758","325962530","326597163","325910542","324577532","320839339","321460033"
"20252","11","서울시","2282555531","1070773070","1211782467","337891374","368962620","381498309","376843445","336527494","480832292","586210915","471357083","276825099","277215116","379731495","291215841","325830153","327230066","328110893","327781336","326933039","323892185","322777862"
"20251","11","서울시","2304586161","1085991834","1218594328","338569799","364140145","384563926","380849881","341684575","494777839","588604024","476519546","281540253","281632648","383656962","292632745","328618350","328679934","328999940","330024696","331098867","329175518","327988864"
"20244","11","서울시","2309985159","1085791109","1224194048","340350193","371672206","384882321","380681614","340398021","492000808","593011523","477687416","280646631","280897621","383704983","294036986","329574799","330251087","331646771","331149012","331081022","328422315","327860153"
"20243","11","서울시","2291618077","1079631880","1211986203","337616853","363384939","381992908","377452430","339123051","492047897","588738557","473888579","278705209","278963391","379826800","291495550","326979250","327419347","329469367","329829353","329334074","324631896","323954801"
"20242","11","서울시","2316314117","1088879295","1227434818","343791846","374201381","386727470","380054006","339477301","492062119","597221223","478637712","280254393","280503504","384196929","295500350","332228320","332841865","332430765","331825952","331572931","327545405","327868872"
"20241","11","서울시","2357340724","1112995174","1244345549","348030350","371822659","392877470","387536853","348691015","508382377","605631588","488970534","287064019","286610841","390659800","298403945","337315311","338776025","339321495","338516391","335698245","333258682","334454586"
"20234","11","서울시","2350495089","1108035901","1242459183","347529399","377014110","391701687","385090123","346138375","503021399","606157767","485957988","284690038","284609554","389876941","299202796","335893785","336512753","336996705","337171773","336658930","334388280","332872873"
"20233","11","서울시","2322696229","1095415950","1227280277","342951524","370520020","388478887","379735790","341298914","499711090","597912313","479568342","281846403","281984837","385294104","296090236","335017794","334260007","333964206","331677546","329906425","326481796","331388459"
"20232","11","서울시","2342068806","1103560006","1238508801","348002334","379530710","392170390","381465001","341780101","499120268","604426711","483289428","282878489","283120434","388909189","299444546","335391384","336329028","336831311","336488562","335290954","330802382","330935184"
"20231","11","서울시","2369029114","1119334363","1249694747","349986098","377013406","396598187","386089349","347439384","511902677","607639378","488998573","288233957","288302954","394203707","301650546","337647363","339170988","340116404","340247575","339830235","336395263","335621288"
"20224","11","서울시","2358249397","1112566676","1245682724","348286795","379075500","394679506","383444237","344539586","508223778","607523432","486489112","285361185","285622495","391972783","301280386","337644797","338287752","338628381","337926161","337457904","333845248","334459155"
"20223","11","서울시","2345378451","1108216479","1237161976","346414712","374454079","391688319","380443106","343432401","508945840","605219098","484044105","283889838","284066118","388746308","299412991","336428441","338417462","338501108","337486189","335334164","329047972","330163117"
"20222","11","서울시","2400000877","1132790913","1267209960","357890689","383690113","400316792","388225017","349193833","520684435","620183237","495259270","289649071","289664346","398373468","306871487","345232200","345589718","344183173","343358748","342975303","338721601","339940149"
"20221","11","서울시","2382152605","1128534806","1253617803","350252673","373834116","398836648","386714581","349826333","522688252","611399609","492956810","290128823","289892552","395419799","302355006","339760893","339752377","341177293","342025448","341991062","339155802","338289738"
"20214","11","서울시","2374527361","1122162097","1252365263","349254678","374203764","397013145","385345487","347671956","521038332","611944583","490777124","287844767","287750074","393740657","302470155","339908049","341243012","341253228","340708496","339897965","335820067","335696551"
"20213","11","서울시","2359537976","1115234874","1244303101","347091683","366937209","392828567","382519851","346987417","523173247","608718416","488021864","286405449","286078071","390062495","300251679","336821582","338101800","339937062","340234279","339134295","333290443","332018514"
"20212","11","서울시","2400733703","1133524159","1267209548","355155181","377668362","400650779","388372783","349764027","529122565","620134873","496721327","290452626","289972053","397422415","306030406","344826056","345104221","344053068","344871675","344451862","339013357","338413473"
"20211","11","서울시","2416938870","1143990116","1272948755","353884454","374062640","402866774","391105079","354124276","540895656","621574000","500909604","293976060","293150885","400372433","306955886","346896419","347628691","346940275","345855996","344103354","342289210","343224923"
