"기준_년분기_코드","자치구_코드","자치구_코드_명","총_유동인구_수","남성_유동인구_수","여성_유동인구_수","연령대_10_유동인구_수","연령대_20_유동인구_수","연령대_30_유동인구_수","연령대_40_유동인구_수","연령대_50_유동인구_수","연령대_60_이상_유동인구_수","시간대_00_06_유동인구_수","시간대_06_11_유동인구_수","시간대_11_14_유동인구_수","시간대_14_17_유동인구_수","시간대_17_21_유동인구_수","시간대_21_24_유동인구_수","월요일_유동인구_수","화요일_유동인구_수","수요일_유동인구_수","목요일_유동인구_수","금요일_유동인구_수","토요일_유동인구_수","일요일_유동인구_수"
"20261","11740","강동구","106404596","49466580","56938018","17823375","12362332","16519201","18058645","15976931","25664114","28852160","21915423","12103915","12065004","17364859","14103234","15057264","14956787","15052124","15025214","15052209","15493109","15767888"
"20261","11710","송파구","119374865","55642047","63732819","20672263","14907722","20435894","20646767","17388028","25324191","31459895","24545504","14012998","14041680","19855928","15458859","16912702","16865750","16985645","17024864","17087346","17309555","17189005"
"20261","11680","강남구","145387600","70197206","75190394","24722050","21203816","27921575","30292454","20327772","20919934","29540008","30038363","21965227","22097479","25732078","16014445","21093327","21713781","21889845","22019769","22117631","18975748","17577501"
"20261","11650","서초구","99034836","47350265","51684570","17161186","13358310","17153704","19568064","14984921","16808650","22229072","20961561","13864400","13768048","16798755","11412999","14333908","14598329","14728319","14754708","14835148","13222312","12562109"
"20261","11620","관악구","126852940","62443228","64409712","12944568","30134249","25204261","18271563","16292676","24005622","35507740","26210864","13761803","13628618","20546523","17197390","17824434","17673933","17813477","17821768","17815305","18807977","19096046"
"20261","11590","동작구","79482451","37324382","42158068","11514193","14717320","13289248","12115601","11190985","16655105","21804206","16523864","8883092","8814739","12901234","10555315","11233836","11204108","11257346","11258183","11285872","11604231","11638874"
"20261","11560","영등포구","107551419","51728362","55823057","13238893","15854643","21214293","18677105","16400769","22165717","26351282","22447330","13626261","13643116","18132791","13350639","15295041","15338792","15447541","15437350","15555876","15283447","15193374"
"20261","11545","금천구","34978174","17298993","17679181","4082862","4901996","6374864","5688612","5682201","8247642","9542143","7242637","3997400","3969792","5624199","4602002","5001230","4991884","4984407","4981490","4954615","4974420","5090130"
"20261","11530","구로구","79329375","38022522","41306852","11475333","9719172","13184016","13487052","12957651","18506151","20922654","16427806","9280000","9265600","13103400","10329915","11320763","11281762","11286013","11257076","11240654","11342859","11600249"
"20261","11500","강서구","114205875","53362593","60843283","18703792","15176083","20558530","19654643","15830113","24282713","31424962","23807172","12955352","12783521","18164626","15070244","16253559","16162200","16226630","16214719","16189454","16478155","16681158"
"20261","11470","양천구","75372551","35264186","40108365","16215294","8241200","9983434","12894066","11366962","16671595","20901470","15558490","8368025","8317653","12141502","10085410","10663118","10605899","10651606","10656763","10674818","10996655","11123691"
"20261","11440","마포구","111700178","50507329","61192850","16137456","21863053","21277646","19334008","15151844","17936170","27114142","22238830","13973073","14459180","19812891","14102063","15673945","15663152","15856877","15945856","16138322","16431266","15990761"
"20261","11410","서대문구","100020368","45115949","54904419","13480682","18628525","16938159","17287293","15018176","18667533","23779934","20987582","13288542","13468648","16574672","11920988","14399062","14623251","14703722","14736648","14655839","13559307","13342540"
"20261","11380","은평구","94584761","42531707","52053054","15231171","11952081","14249593","15426375","14921734","22803806","26843244","19520698","10189785","10089908","15079863","12861263","13397586","13281869","13314504","13295791","13281107","13895069","14118834"
"20261","11350","노원구","91576369","42288020","49288347","16466242","12806199","11231454","13774026","14508805","22789643","24117226","18646991","10636028","10728137","15426470","12021517","12916899","12874830","12923568","12898104","12914463","13497102","13551401"
"20261","11320","도봉구","61099850","28347137","32752713","9402565","7331839","7874836","9094740","9957672","17438198","16684800","12608577","6881464","6868949","9928987","8127072","8684599","8631147","8601410","8584334","8550853","8905303","9142204"
"20261","11305","강북구","88068472","40441017","47627455","12221893","12547452","11270078","13227807","14727913","24073330","23837761","18090720","10083666","10057225","14389212","11609886","12499800","12427754","12393533","12387276","12379597","12881119","13099392"
