"기준_년분기_코드","행정동_코드","행정동_코드_명","총_유동인구_수","남성_유동인구_수","여성_유동인구_수","연령대_10_유동인구_수","연령대_20_유동인구_수","연령대_30_유동인구_수","연령대_40_유동인구_수","연령대_50_유동인구_수","연령대_60_이상_유동인구_수","시간대_00_06_유동인구_수","시간대_06_11_유동인구_수","시간대_11_14_유동인구_수","시간대_14_17_유동인구_수","시간대_17_21_유동인구_수","시간대_21_24_유동인구_수","월요일_유동인구_수","화요일_유동인구_수","수요일_유동인구_수","목요일_유동인구_수","금요일_유동인구_수","토요일_유동인구_수","일요일_유동인구_수"
"20261","11290610","보문동","5050582","2313908","2736676","671131","884027","807415","752120","802077","1133812","1392388","1070737","564408","557143","796751","669158","719999","714590","719089","714152","712732","722927","747094"
"20261","11260690","신내2동","1720741","791214","929527","298673","165023","254028","279564","271775","451680","478023","360442","195648","190140","273311","223179","247870","246198","246268","245698","246106","242445","246157"
"20261","11260680","신내1동","4933877","2290902","2642976","976672","459574","686019","754489","747643","1309480","1348781","986568","540028","549543","833586","675370","703536","700093","695372","694568","702293","711868","726149"
"20261","11260660","망우3동","3733075","1776831","1956245","464157","454805","533855","544765","678348","1057148","1183462","795295","379099","351660","524177","499385","532797","530224","525547","523410","519617","533408","568074"
"20261","11260655","망우본동","11381814","5254535","6127280","1738279","1368107","1771317","1840105","1772166","2891840","2993848","2311380","1327792","1317592","1910084","1521120","1609294","1594936","1607606","1595742","1592684","1663474","1718080"
"20261","11260630","묵2동","5200656","2401261","2799393","655349","777472","795531","818928","871209","1282168","1383380","1042950","591929","601614","888387","692395","730792","728812","732233","729529","727642","773651","777996"
"20261","11260620","묵1동","6921874","3198928","3722947","1134750","929234","989801","1064074","1062800","1741214","1902272","1458139","763362","753724","1118187","926190","978466","970565","973302","971305","964483","1018639","1045115"
"20261","11260610","중화2동","7953194","3894791","4058403","936437","1006416","1272880","1192021","1291565","2253876","2118011","1611086","874469","897590","1373125","1078914","1122140","1114560","1113246","1110640","1112820","1176984","1202805"
"20261","11260600","중화1동","4546132","2112468","2433662","690688","557332","747030","653960","690226","1206897","1336594","954452","482999","463643","689313","619130","650371","642253","642248","642723","636748","655107","676681"
"20261","11260590","상봉2동","6434643","2984640","3450002","536818","1236744","1406685","941646","960225","1352528","1672046","1257630","743842","763750","1126897","870479","896175","885740","898122","897478","911596","990534","954998"
"20261","11260580","상봉1동","5194467","2406996","2787471","838726","614882","879594","805058","764962","1291247","1435487","1089207","577828","570432","833959","687555","738688","730597","731104","728180","726600","759029","780270"
"20261","11260575","면목3?8동","6577923","3063123","3514799","748650","1000045","1017683","994565","1101155","1715824","1741353","1317604","757214","764823","1109165","887763","936342","934321","933490","930508","925210","951514","966537"
"20261","11260570","면목7동","6102089","2892753","3209336","791802","713673","931389","953178","1010017","1702031","1711136","1246165","656983","665356","998689","823761","864341","853302","850319","849823","847571","904392","932339"
