"기준_년분기_코드","자치구_코드","자치구_코드_명","상권_변화_지표","상권_변화_지표_명","운영_영업_개월_평균","폐업_영업_개월_평균","서울_운영_영업_개월_평균","서울_폐업_영업_개월_평균"
"20261","11740","강동구","LL","다이나믹","111","50","117","54"
"20261","11710","송파구","HL","상권축소","119","52","117","54"
"20261","11680","강남구","LL","다이나믹","111","50","117","54"
"20261","11650","서초구","HH","정체","125","56","117","54"
"20261","11620","관악구","LL","다이나믹","110","51","117","54"
"20261","11590","동작구","HH","정체","121","57","117","54"
"20261","11560","영등포구","HH","정체","119","54","117","54"
"20261","11545","금천구","HL","상권축소","117","52","117","54"
"20261","11530","구로구","HL","상권축소","126","53","117","54"
"20261","11500","강서구","LL","다이나믹","101","49","117","54"
"20261","11470","양천구","LL","다이나믹","116","51","117","54"
"20261","11440","마포구","LL","다이나믹","99","50","117","54"
"20261","11410","서대문구","LH","상권확장","116","54","117","54"
"20261","11380","은평구","LL","다이나믹","113","53","117","54"
"20261","11350","노원구","LL","다이나믹","111","52","117","54"
"20261","11320","도봉구","LL","다이나믹","109","52","117","54"
"20261","11305","강북구","LL","다이나믹","115","50","117","54"
"20261","11290","성북구","LH","상권확장","114","54","117","54"
"20261","11260","중랑구","LL","다이나믹","112","50","117","54"
"20261","11230","동대문구","HH","정체","125","55","117","54"
"20261","11215","광진구","LL","다이나믹","112","52","117","54"
"20261","11200","성동구","LH","상권확장","112","56","117","54"
"20261","11170","용산구","HH","정체","122","59","117","54"
"20261","11140","중구","HH","정체","139","64","117","54"
"20261","11110","종로구","HH","정체","138","64","117","54"
"20254","11740","강동구","LL","다이나믹","110","50","115","53"
"20254","11710","송파구","HL","상권축소","117","52","115","53"
"20254","11680","강남구","LL","다이나믹","109","50","115","53"
"20254","11650","서초구","HH","정체","123","55","115","53"
"20254","11620","관악구","LL","다이나믹","109","50","115","53"
"20254","11590","동작구","HH","정체","119","57","115","53"
"20254","11560","영등포구","HH","정체","118","53","115","53"
"20254","11545","금천구","LL","다이나믹","115","52","115","53"
"20254","11530","구로구","HL","상권축소","124","53","115","53"
"20254","11500","강서구","LL","다이나믹","99","49","115","53"
"20254","11470","양천구","LL","다이나믹","114","51","115","53"
