"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권배후지_코드","상권배후지_코드_명","총_상주인구_수","남성_상주인구_수","여성_상주인구_수","연령대_10_상주인구_수","연령대_20_상주인구_수","연령대_30_상주인구_수","연령대_40_상주인구_수","연령대_50_상주인구_수","연령대_60_이상_상주인구_수","남성연령대_10_상주인구_수","남성연령대_20_상주인구_수","남성연령대_30_상주인구_수","남성연령대_40_상주인구_수","남성연령대_50_상주인구_수","남성연령대_60_이상_상주인구_수","여성연령대_10_상주인구_수","여성연령대_20_상주인구_수","여성연령대_30_상주인구_수","여성연령대_40_상주인구_수","여성연령대_50_상주인구_수","여성연령대_60_이상_상주인구_수","총_가구_수","아파트_가구_수","비_아파트_가구_수"
"20261","A","골목상권","3111090","강일동주민센터","4677","2308","2369","822","594","539","832","733","1157","418","314","271","418","384","503","404","280","268","414","349","654","2180","0","2180"
"20261","A","골목상권","3111089","상일여고(상일초등학교)","14226","7017","7209","3093","1420","1901","2652","2125","3035","1555","690","924","1331","1058","1459","1538","730","977","1321","1067","1576","5306","0","5306"
"20261","A","골목상권","3111088","고덕동성당","10602","5253","5349","1907","1180","1744","1672","1595","2504","1020","589","830","856","782","1176","887","591","914","816","813","1328","4277","0","4277"
"20261","A","골목상권","3111087","고덕중학교(고덕2동주민센터)","6577","3389","3188","1251","626","926","1238","949","1587","660","344","485","651","468","781","591","282","441","587","481","806","2852","0","2852"
"20261","A","골목상권","3111086","한영중고","8239","4053","4186","1655","882","794","1468","1339","2101","886","447","392","671","659","998","769","435","402","797","680","1103","2997","0","2997"
"20261","A","골목상권","3111085","묘곡초등학교(고덕아이파크아파트)","14338","7366","6972","3451","1246","1473","3029","2159","2980","1901","687","718","1473","1158","1429","1550","559","755","1556","1001","1551","5213","0","5213"
"20261","A","골목상권","3111084","길동신동아아파트","8631","4204","4427","1091","1068","1398","1254","1495","2325","571","549","715","612","722","1035","520","519","683","642","773","1290","3827","0","3827"
"20261","A","골목상권","3111083","GS강동자이아파트","19729","9722","10007","2540","2414","2734","2808","3381","5852","1346","1296","1410","1412","1582","2676","1194","1118","1324","1396","1799","3176","8374","0","8374"
"20261","A","골목상권","3111082","중앙보훈병원","7312","3588","3724","1001","871","1068","978","1184","2210","531","457","551","493","532","1024","470","414","517","485","652","1186","2914","0","2914"
"20261","A","골목상권","3111081","둔촌푸르지오아파트","9804","4797","5007","1300","1152","1414","1396","1626","2916","667","602","724","717","738","1349","633","550","690","679","888","1567","4153","0","4153"
"20261","A","골목상권","3111080","굽은다리역 3번","16771","8181","8590","2426","1962","2385","2416","2654","4928","1261","998","1198","1177","1263","2284","1165","964","1187","1239","1391","2644","6909","0","6909"
"20261","A","골목상권","3111079","둔촌고등학교(둔촌중학교)","15869","7809","8060","2341","1946","2461","2417","2552","4152","1255","961","1216","1233","1221","1923","1086","985","1245","1184","1331","2229","6833","0","6833"
"20261","A","골목상권","3111078","굽은다리역 4번","27359","13268","14091","3047","3476","4193","3920","4483","8240","1605","1740","2093","1977","2124","3729","1442","1736","2100","1943","2359","4511","12444","0","12444"
"20261","A","골목상권","3111077","길동주민센터(강동도서관)","32910","16229","16681","3648","4316","4856","4768","5606","9716","1909","2145","2492","2472","2741","4470","1739","2171","2364","2296","2865","5246","15741","0","15741"
"20261","A","골목상권","3111076","둔촌2동주민센터","13375","6622","6753","1625","1722","1979","1894","2300","3855","835","864","1040","972","1104","1807","790","858","939","922","1196","2048","6235","0","6235"
