"기준_년분기_코드","행정동_코드","행정동_코드_명","총_상주인구_수","남성_상주인구_수","여성_상주인구_수","연령대_10_상주인구_수","연령대_20_상주인구_수","연령대_30_상주인구_수","연령대_40_상주인구_수","연령대_50_상주인구_수","연령대_60_이상_상주인구_수","남성연령대_10_상주인구_수","남성연령대_20_상주인구_수","남성연령대_30_상주인구_수","남성연령대_40_상주인구_수","남성연령대_50_상주인구_수","남성연령대_60_이상_상주인구_수","여성연령대_10_상주인구_수","여성연령대_20_상주인구_수","여성연령대_30_상주인구_수","여성연령대_40_상주인구_수","여성연령대_50_상주인구_수","여성연령대_60_이상_상주인구_수","총_가구_수","아파트_가구_수","비_아파트_가구_수"
"20261","11740700","둔촌2동","24228","11861","12367","3360","3110","3688","3495","3911","6664","1764","1532","1874","1752","1868","3071","1596","1578","1814","1743","2043","3593","10426","0","10426"
"20261","11740690","둔촌1동","16","10","6","2","0","1","5","1","7","2","0","1","2","0","5","0","0","0","3","1","2","11","0","11"
"20261","11740685","길동","44395","21594","22801","4611","6297","7127","6419","7099","12842","2411","2946","3637","3290","3428","5882","2200","3351","3490","3129","3671","6960","21799","0","21799"
"20261","11740660","성내3동","22433","10963","11470","2471","3268","3311","3357","3800","6226","1392","1667","1703","1625","1817","2759","1079","1601","1608","1732","1983","3467","10645","0","10645"
"20261","11740650","성내2동","23452","11433","12019","1873","3921","4390","3062","3447","6759","986","1657","2269","1606","1749","3166","887","2264","2121","1456","1698","3593","13395","0","13395"
"20261","11740640","성내1동","19392","9277","10115","2902","2484","2971","3248","2960","4827","1500","1192","1407","1575","1406","2197","1402","1292","1564","1673","1554","2630","8213","0","8213"
"20261","11740620","천호3동","25969","12529","13440","2197","4210","5030","3486","3867","7179","1133","1782","2441","1810","1966","3397","1064","2428","2589","1676","1901","3782","14368","0","14368"
"20261","11740610","천호2동","32694","15924","16770","3070","4613","6011","4701","5084","9215","1569","2099","3053","2408","2498","4297","1501","2514","2958","2293","2586","4918","17419","0","17419"
"20261","11740600","천호1동","25942","12735","13207","2644","3280","3850","3678","4341","8149","1336","1635","2042","1904","2121","3697","1308","1645","1808","1774","2220","4452","12929","0","12929"
"20261","11740590","암사3동","17136","8416","8720","3437","1763","2030","3124","2594","4188","1811","890","943","1520","1275","1977","1626","873","1087","1604","1319","2211","6078","0","6078"
"20261","11740580","암사2동","14825","7158","7667","2123","1760","2621","2306","2266","3749","1094","823","1282","1167","1082","1710","1029","937","1339","1139","1184","2039","6375","0","6375"
"20261","11740570","암사1동","33825","16775","17050","4027","4289","4876","5160","5816","9657","2023","2232","2550","2678","2857","4435","2004","2057","2326","2482","2959","5222","16155","0","16155"
"20261","11740560","고덕2동","22684","11427","11257","4754","2039","3425","4400","3203","4863","2520","1039","1636","2261","1594","2377","2234","1000","1789","2139","1609","2486","8924","0","8924"
"20261","11740550","고덕1동","23932","12182","11750","6073","1949","2426","5297","3431","4756","3392","1057","1132","2557","1813","2231","2681","892","1294","2740","1618","2525","8155","0","8155"
"20261","11740540","명일2동","17034","8298","8736","3313","2117","1797","2939","2672","4196","1797","1015","850","1299","1332","2005","1516","1102","947","1640","1340","2191","6424","0","6424"
"20261","11740530","명일1동","25279","12363","12916","4369","2720","3749","4145","3901","6395","2302","1410","1845","1996","1890","2920","2067","1310","1904","2149","2011","3475","10027","0","10027"
"20261","11740520","상일동","39307","19334","19973","9332","3437","5097","8026","5494","7921","4772","1726","2319","3983","2720","3814","4560","1711","2778","4043","2774","4107","13601","0","13601"
"20261","11740515","강일동","44257","21047","23210","8773","4901","5797","7171","6561","11054","4522","2397","2690","3476","3173","4789","4251","2504","3107","3695","3388","6265","17658","0","17658"
"20261","11710720","잠실7동","9419","4382","5037","1435","1103","943","1245","1640","3053","655","540","418","546","766","1457","780","563","525","699","874","1596","3365","0","3365"
"20261","11710710","잠실6동","16514","7825","8689","2948","1768","1981","2777","2606","4434","1498","849","896","1280","1210","2092","1450","919","1085","1497","1396","2342","5834","0","5834"
"20261","11710690","잠실4동","21192","10213","10979","4930","1852","2399","4442","3132","4437","2566","916","1000","2108","1542","2081","2364","936","1399","2334","1590","2356","7231","0","7231"
"20261","11710680","잠실3동","33805","15960","17845","6578","3530","3519","6057","5459","8662","3272","1716","1492","2781","2674","4025","3306","1814","2027","3276","2785","4637","11814","0","11814"
"20261","11710670","잠실2동","34909","16705","18204","9113","3341","3220","8042","5660","5533","4653","1533","1304","3688","3000","2527","4460","1808","1916","4354","2660","3006","11542","0","11542"
"20261","11710650","잠실본동","27731","13208","14523","2445","4952","6226","4164","3970","5974","1245","2180","3103","2048","1922","2710","1200","2772","3123","2116","2048","3264","16073","0","16073"
"20261","11710647","위례동","44857","21874","22983","12586","4244","6785","9367","5881","5994","6484","2092","3079","4600","2926","2693","6102","2152","3706","4767","2955","3301","14702","0","14702"
"20261","11710646","장지동","28473","13711","14762","4331","3521","4383","4387","4637","7214","2192","1799","2173","2194","2141","3212","2139","1722","2210","2193","2496","4002","12055","0","12055"
"20261","11710642","문정2동","28782","13195","15587","2904","4676","7307","4456","3472","5967","1440","1801","3302","2126","1668","2858","1464","2875","4005","2330","1804","3109","15844","0","15844"
"20261","11710641","문정1동","19502","9647","9855","2438","2819","3305","2734","3098","5108","1269","1413","1696","1389","1433","2447","1169","1406","1609","1345","1665","2661","8497","0","8497"
"20261","11710632","가락2동","31181","15186","15995","5254","4005","4610","5066","5110","7136","2728","1978","2264","2444","2461","3311","2526","2027","2346","2622","2649","3825","12362","0","12362"
"20261","11710631","가락1동","27469","13286","14183","5719","2571","4733","4925","3631","5890","2940","1266","2134","2441","1684","2821","2779","1305","2599","2484","1947","3069","9799","0","9799"
"20261","11710620","가락본동","25171","12461","12710","2965","3485","4476","3545","4192","6508","1512","1737","2282","1800","1984","3146","1453","1748","2194","1745","2208","3362","11567","0","11567"
"20261","11710610","삼전동","29062","13547","15515","2820","4764","6320","4660","4135","6363","1461","2110","3017","2246","1947","2766","1359","2654","3303","2414","2188","3597","16117","0","16117"
"20261","11710600","석촌동","30682","14536","16146","2809","5023","6745","4605","4370","7130","1419","2187","3287","2285","2098","3260","1390","2836","3458","2320","2272","3870","16996","0","16996"
"20261","11710590","송파2동","18476","8909","9567","2965","2336","2638","2935","2929","4673","1502","1110","1255","1444","1390","2208","1463","1226","1383","1491","1539","2465","7095","0","7095"
"20261","11710580","송파1동","23353","10821","12532","2098","4019","5392","3349","3167","5328","1026","1767","2648","1564","1387","2429","1072","2252","2744","1785","1780","2899","12486","0","12486"
"20261","11710570","오금동","37341","18034","19307","5202","4669","5043","5341","6555","10531","2719","2407","2481","2576","3006","4845","2483","2262","2562","2765","3549","5686","15582","0","15582"
"20261","11710566","오륜동","17799","8725","9074","3619","1925","1601","3036","3015","4603","1962","1032","698","1341","1469","2223","1657","893","903","1695","1546","2380","5896","0","5896"
"20261","11710562","방이2동","26094","11878","14216","2020","5130","6448","3632","3345","5519","1095","1992","2941","1815","1528","2507","925","3138","3507","1817","1817","3012","15656","0","15656"
"20261","11710561","방이1동","15091","7264","7827","2333","2083","2125","2358","2580","3612","1158","1043","1064","1096","1206","1697","1175","1040","1061","1262","1374","1915","6092","0","6092"
