"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","여가_지출_총금액","문화_지출_총금액","교육_지출_총금액","유흥_지출_총금액"
"20261","U","관광특구","3001496","강남 마이스 관광특구","","","","","","","","","",""
"20261","U","관광특구","3001495","잠실 관광특구","8751576599","1816408874","1103986952","722602116","917183031","1534513036","468534099","243707454","1598783308","345857729"
"20261","U","관광특구","3001494","종로?청계 관광특구","1880810046","502934723","242166818","151381021","253103975","314564008","93975919","58322993","183968103","80392486"
"20261","U","관광특구","3001493","동대문패션타운 관광특구","1889505008","405055507","242124953","165935630","198916229","327809433","100912376","55876056","315385781","77489043"
"20261","U","관광특구","3001492","명동 남대문 북창동 다동 무교동 관광특구","799060474","198543079","109338730","65537299","100540265","145153295","47266880","23816404","73392736","35471786"
"20261","U","관광특구","3001491","이태원 관광특구","3597923964","892652401","452992792","300767570","434227797","622505959","158308758","113915725","466848178","155704784"
"20261","R","전통시장","3130327","평화시장(남평화시장, 제일평화시장, 신평화패션타운)","","","","","","","","","",""
"20261","R","전통시장","3130326","고덕 골목형상점가","40697223","11206611","4772763","2901471","5713560","6213800","1627622","1170775","5555774","1534847"
"20261","R","전통시장","3130325","명일전통시장","762846136","200045982","92132092","50249063","95837650","118377471","27811608","21649307","124136975","32605988"
"20261","R","전통시장","3130324","길동복조리시장","595074220","151696675","73524317","44501832","76430248","99564788","26099940","17397781","81409740","24448899"
"20261","R","전통시장","3130323","둔촌역전통시장","764962470","212600940","92152548","54122662","106063523","123129274","27978245","23322734","93777790","31814754"
"20261","R","전통시장","3130322","고분다리전통시장","587462046","172243693","69597270","43277815","85080762","91077774","19285117","18928962","62880069","25090584"
"20261","R","전통시장","3130321","장신구 특화거리 상점가","746197588","192573814","91214957","53930233","94381501","126170473","28330814","22544492","105118864","31932440"
"20261","R","전통시장","3130320","암사종합시장","472182422","115543340","58589429","34326995","57825472","81593486","19627627","13775516","71015657","19884900"
"20261","R","전통시장","3130319","성내전통시장","541910305","157473780","65642451","41956959","76221418","82748796","21475300","17904832","56093899","22392870"
"20261","R","전통시장","3130318","로데오거리상점가","329927191","71236091","41239964","30424055","34104070","57516482","17060277","9890450","55238127","13217675"
"20261","R","전통시장","3130317","마천중앙시장","443911997","130210918","52046299","30917335","65431485","67670901","15436780","13598928","50679265","17920086"
"20261","R","전통시장","3130316","마천시장","41718696","14220497","4614224","2729490","6959846","5298999","1187153","1367314","3774177","1566996"
"20261","R","전통시장","3130315","문정동 로데오거리 상점가(문정동 로데오거리)","742171515","178819801","91126032","57351261","89684031","128572974","31448096","21507100","112524389","31137831"
"20261","R","전통시장","3130314","풍납시장","1463840744","487521055","163365851","102435153","232426856","185618590","42265493","50645537","142936305","56625904"
"20261","R","전통시장","3130313","방이시장","2956881150","733496973","359876526","217222973","360918695","511473630","110251855","88274991","448447682","126917825"
