"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","여가_지출_총금액","문화_지출_총금액","교육_지출_총금액","유흥_지출_총금액"
"20261","A","골목상권","3111090","강일동주민센터","","","","","","","","","",""
"20261","A","골목상권","3111089","상일여고(상일초등학교)","","","","","","","","","",""
"20261","A","골목상권","3111088","고덕동성당","","","","","","","","","",""
"20261","A","골목상권","3111087","고덕중학교(고덕2동주민센터)","","","","","","","","","",""
"20261","A","골목상권","3111086","한영중고","","","","","","","","","",""
"20261","A","골목상권","3111085","묘곡초등학교(고덕아이파크아파트)","","","","","","","","","",""
"20261","A","골목상권","3111084","길동신동아아파트","","","","","","","","","",""
"20261","A","골목상권","3111083","GS강동자이아파트","","","","","","","","","",""
"20261","A","골목상권","3111082","중앙보훈병원","","","","","","","","","",""
"20261","A","골목상권","3111081","둔촌푸르지오아파트","","","","","","","","","",""
"20261","A","골목상권","3111080","굽은다리역 3번","","","","","","","","","",""
"20261","A","골목상권","3111079","둔촌고등학교(둔촌중학교)","","","","","","","","","",""
"20261","A","골목상권","3111078","굽은다리역 4번","","","","","","","","","",""
"20261","A","골목상권","3111077","길동주민센터(강동도서관)","","","","","","","","","",""
"20261","A","골목상권","3111076","둔촌2동주민센터","","","","","","","","","",""
"20261","A","골목상권","3111075","굽은다리역 2번","","","","","","","","","",""
"20261","A","골목상권","3111074","명일역 1번","","","","","","","","","",""
"20261","A","골목상권","3111073","둔촌동역 1번(한산중학교)","","","","","","","","","",""
"20261","A","골목상권","3111072","굽은다리역 1번(십자성마을)","","","","","","","","","",""
"20261","A","골목상권","3111071","천동초등학교","","","","","","","","","",""
"20261","A","골목상권","3111070","천호초등학교","","","","","","","","","",""
"20261","A","골목상권","3111069","천호1동주민센터","","","","","","","","","",""
"20261","A","골목상권","3111068","강동성심병원","","","","","","","","","",""
"20261","A","골목상권","3111067","강동구립성내도서관","","","","","","","","","",""
"20261","A","골목상권","3111066","암사동성당(효정하나플러스아파트)","","","","","","","","","",""
"20261","A","골목상권","3111065","천일초등학교","","","","","","","","","",""
"20261","A","골목상권","3111064","둔촌동역 4번","","","","","","","","","",""
"20261","A","골목상권","3111063","강동구립 천호도서관","","","","","","","","","",""
"20261","A","골목상권","3111062","둔촌동역 3번(성내3동주민센터)","","","","","","","","","",""
"20261","A","골목상권","3111061","암사역 1번","","","","","","","","","",""
"20261","A","골목상권","3111060","암사역 2번(서울강동초등학교)","","","","","","","","","",""
"20261","A","골목상권","3111059","강동역 4번(강풀만화거리)","","","","","","","","","",""
"20261","A","골목상권","3111058","성내중학교","","","","","","","","","",""
"20261","A","골목상권","3111057","천호공원(해공체육문화센터)","","","","","","","","","",""
"20261","A","골목상권","3111056","천호태영아파트","","","","","","","","","",""
"20261","A","골목상권","3111055","선사초등학교","","","","","","","","","",""
"20261","A","골목상권","3111054","암사역 4번(삼성광나루아파트)","","","","","","","","","",""
"20261","A","골목상권","3111053","성내천어린이공원(하니사랑길)","","","","","","","","","",""
"20261","A","골목상권","3111052","암사역 3번(천호동자전거거리)","","","","","","","","","",""
"20261","A","골목상권","3111051","천호역 6번","","","","","","","","","",""
"20261","A","골목상권","3111050","강동구청(강동구청역 2번)","","","","","","","","","",""
"20261","A","골목상권","3111049","천호지구대(천호동자전거거리)","","","","","","","","","",""
"20261","A","골목상권","3111048","천호역 1번(천호문구완구거리)","","","","","","","","","",""
"20261","A","골목상권","3111047","마천1치안센터","","","","","","","","","",""
"20261","A","골목상권","3111046","마천역(마천초등학교)","","","","","","","","","",""
"20261","A","골목상권","3111045","개미어린이공원","","","","","","","","","",""
"20261","A","골목상권","3111044","남천초등학교","","","","","","","","","",""
"20261","A","골목상권","3111043","마천공원","","","","","","","","","",""
"20261","A","골목상권","3111042","거여역 1번(거여공원)","","","","","","","","","",""
"20261","A","골목상권","3111041","거여역 8번","","","","","","","","","",""
"20261","A","골목상권","3111040","거여초등학교","","","","","","","","","",""
"20261","A","골목상권","3111039","벌말어린이공원","","","","","","","","","",""
"20261","A","골목상권","3111038","보인중학교","","","","","","","","","",""
"20261","A","골목상권","3111037","Sh수협은행 오금동금융센터(아랫말어린이공원)","","","","","","","","","",""
"20261","A","골목상권","3111036","투구봉어린이공원","","","","","","","","","",""
"20261","A","골목상권","3111035","오금공원(오주중학교)","","","","","","","","","",""
"20261","A","골목상권","3111034","오동나무공원(송파레미니스1단지)","","","","","","","","","",""
"20261","A","골목상권","3111033","문정동성당","","","","","","","","","",""
"20261","A","골목상권","3111032","방이역 1번","","","","","","","","","",""
"20261","A","골목상권","3111031","장지동주민센터(한림연예예술고교)","","","","","","","","","",""
"20261","A","골목상권","3111030","방이역 2번","","","","","","","","","",""
"20261","A","골목상권","3111029","오금역 4번","","","","","","","","","",""
"20261","A","골목상권","3111028","문현중학교(장지역 1번)","","","","","","","","","",""
"20261","A","골목상권","3111027","문정초등학교","","","","","","","","","",""
"20261","A","골목상권","3111026","문정역 2번","","","","","","","","","",""
"20261","A","골목상권","3111025","경찰병원역 3번","","","","","","","","","",""
"20261","A","골목상권","3111024","경찰병원역 4번(건너말공원)","","","","","","","","","",""
"20261","A","골목상권","3111023","문정역 1번","","","","","","","","","",""
"20261","A","골목상권","3111022","석촌중학교(방이육교)","","","","","","","","","",""
"20261","A","골목상권","3111021","방이역 4번","","","","","","","","","",""
"20261","A","골목상권","3111020","방이동고분군(방산고등학교)","","","","","","","","","",""
"20261","A","골목상권","3111019","한성백제역 3번","","","","","","","","","",""
"20261","A","골목상권","3111018","풍납초등학교(풍납백제문화공원)","","","","","","","","","",""
"20261","A","골목상권","3111017","송파나루역 3번","","","","","","","","","",""
"20261","A","골목상권","3111016","송파역 2번","","","","","","","","","",""
"20261","A","골목상권","3111015","석촌역 3번","","","","","","","","","",""
"20261","A","골목상권","3111014","송파나루역 2번","","","","","","","","","",""
"20261","A","골목상권","3111013","송파나루역 1번(송리단길)","","","","","","","","","",""
"20261","A","골목상권","3111012","석촌역 6번","","","","","","","","","",""
"20261","A","골목상권","3111011","잠실나루역","","","","","","","","","",""
"20261","A","골목상권","3111010","석촌역 7번","","","","","","","","","",""
"20261","A","골목상권","3111009","송파책박물관","","","","","","","","","",""
"20261","A","골목상권","3111008","석촌고분역 3번","","","","","","","","","",""
"20261","A","골목상권","3111007","석촌고분역 4번","","","","","","","","","",""
"20261","A","골목상권","3111006","석촌고분역 1번","","","","","","","","","",""
"20261","A","골목상권","3111005","삼전역 3번","","","","","","","","","",""
"20261","A","골목상권","3111004","삼전역 1번","","","","","","","","","",""
"20261","A","골목상권","3111003","삼전역 4번","","","","","","","","","",""
