"기준_년분기_코드","서울시_코드","서울시_코드_명","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","교육_지출_총금액","유흥_지출_총금액","여가_문화_지출_총금액","기타_지출_총금액","음식_지출_총금액"
"20261","11","서울시","13560288779000","713175662000","109456391000","54670626000","740584566000","887448920000","188439126000","69662488000","8665111151000","1374805899000","756933950000"
"20254","11","서울시","13797514193000","739153491000","130018326000","58388597000","735568675000","850287853000","179495683000","77394393000","8836894213000","1381038988000","809273974000"
"20253","11","서울시","13615996613000","785210584000","108280209000","63969769000","728760733000","826372622000","204060637000","77320178000","8654507994000","1381902584000","785611303000"
"20252","11","서울시","13000053047000","760085520000","121512753000","62883046000","697032783000","810394836000","188355518000","80411786000","8108316845000","1380211446000","790848514000"
"20251","11","서울시","12539750887000","741872691000","105033173000","60746282000","712264290000","728060603000","197258653000","78620374000","7769485565000","1388180207000","758229049000"
"20244","11","서울시","12558340251000","764587092000","128930044000","65815794000","705841008000","791960665000","190488155000","87522948000","7554197429000","1442424396000","826572720000"
"20243","11","서울시","12510607514000","816082754000","110943497000","72084095000","691684970000","784783495000","212247699000","90106817000","7505923951000","1437973156000","788777080000"
"20242","11","서울시","11767364427000","784837080000","131838614000","70778238000","662184675000","743460802000","197634005000","91878121000","6836076675000","1437789978000","810886239000"
"20241","11","서울시","11594162312000","762124932000","114474637000","72850923000","683082445000","728693407000","201682624000","91004248000","6699060407000","1457466168000","783722521000"
"20234","11","서울시","11445346966000","768447455000","136051004000","77823077000","662251964000","731478557000","184299090000","96285982000","6539010526000","1442867218000","806832093000"
"20233","11","서울시","10768699329000","781786396000","108302458000","80964481000","632054456000","684764029000","198831251000","96007800000","6112356994000","1311965654000","761665810000"
"20232","11","서울시","10890148049000","777634153000","137148297000","82037734000","639694383000","682086968000","186581547000","99699323000","6133876117000","1356805578000","794583949000"
"20231","11","서울시","10808327784000","739819102000","118492841000","75917594000","676037113000","673429741000","191761059000","98613698000","6149174800000","1319234688000","765847148000"
"20224","11","서울시","11109486381000","723329272000","139234442000","80838108000","690332440000","765163690000","177162851000","100942539000","6243075720000","1416018376000","773388943000"
"20223","11","서울시","10753318293000","760314777000","121161769000","87735064000","662659826000","717721520000","195133250000","105223772000","5961305837000","1403882975000","738179503000"
"20222","11","서울시","10674492198000","736732294000","139506444000","90453141000","667955846000","743798936000","174137323000","105141568000","5907434562000","1362703159000","746628925000"
"20221","11","서울시","10101266955000","688310943000","99913566000","84658324000","671464741000","626452623000","167749419000","52107025000","5854496964000","1307915825000","548197525000"
"20214","11","서울시","10504752963000","696696981000","130084403000","128581736000","662297998000","760335164000","166253901000","70453195000","5932838959000","1323951333000","633259293000"
"20213","11","서울시","9661003466000","733212185000","95487368000","137309886000","619139056000","695534942000","170505006000","40393068000","5401986456000","1253542922000","513892577000"
"20212","11","서울시","9600267027000","685189172000","115958769000","136902279000","629523726000","744544913000","157976921000","53481903000","5262330991000","1232517300000","581841053000"
"20211","11","서울시","9032907689000","651165002000","90173296000","118785975000","590249250000","645799032000","152510077000","42603866000","5105873008000","1152109904000","483638279000"
