"기준_년분기_코드","행정동_코드","행정동_코드_명","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","교육_지출_총금액","유흥_지출_총금액","여가_문화_지출_총금액","기타_지출_총금액","음식_지출_총금액"
"20261","11740","강동구","96775845000","21862757000","1824834000","1216143000","22161337000","3559548000","6928580000","2041310000","9644968000","3712304000","23824064000"
"20261","11710","송파구","449367386000","35894273000","6110959000","3553544000","41478092000","8566590000","11046553000","3762905000","284639591000","8150816000","46164063000"
"20261","11680","강남구","2710784985000","35814051000","26201042000","5161456000","153744188000","24586469000","31417965000","7184808000","1476538468000","874752037000","75384501000"
"20261","11650","서초구","652677059000","20675524000","4641988000","4842460000","71576263000","5969556000","12053922000","3546359000","307633042000","175848921000","45889024000"
"20261","11620","관악구","111972238000","28289595000","2216440000","1385612000","18870503000","3210979000","13411464000","3965565000","7082659000","4244131000","29295290000"
"20261","11590","동작구","168445666000","26201638000","1091564000","1602924000","20568121000","80938730000","4832292000","1807968000","4643503000","3524375000","23234551000"
"20261","11560","영등포구","2004722616000","27398960000","3857473000","2399054000","29140768000","165457963000","4072606000","3290169000","1682430079000","41477637000","45197907000"
"20261","11545","금천구","70375264000","14382433000","10782342000","996523000","10354755000","3775614000","1459172000","1282028000","12787379000","1852537000","12702481000"
"20261","11530","구로구","2103655820000","25024704000","1345669000","1753120000","25005106000","4118358000","4140310000","2169275000","2014457780000","4368250000","21273248000"
"20261","11500","강서구","189215075000","30133374000","6012101000","2089676000","35618293000","42777595000","7472582000","3379253000","14116229000","13519357000","34096615000"
"20261","11470","양천구","108851702000","25196356000","1247183000","1171106000","24573360000","6665570000","13442541000","1567080000","11228855000","3717904000","20041747000"
"20261","11440","마포구","237641805000","27943729000","7177148000","2237456000","21522747000","3428076000","8957350000","6504836000","98310292000","8568163000","52992008000"
"20261","11410","서대문구","129325635000","15660937000","1084874000","763029000","76847291000","3328744000","3825511000","1567182000","4391994000","3116525000","18739548000"
"20261","11380","은평구","90125553000","22199707000","4084969000","1573742000","22206351000","3937587000","5185256000","2443983000","4195913000","3453840000","20844205000"
"20261","11350","노원구","122185418000","36213531000","1487225000","1324601000","22742224000","4606819000","9419231000","2612479000","11625715000","4846410000","27307183000"
"20261","11320","도봉구","49570458000","14177886000","1007315000","949617000","7722649000","4914893000","2766187000","1183384000","2774648000","1925551000","12148328000"
"20261","11305","강북구","59709633000","15164950000","1167556000","990629000","12846266000","3092346000","1562034000","2145799000","3505333000","3136876000","16097844000"
"20261","11290","성북구","80728603000","21900115000","1649066000","961327000","12323724000","5488023000","4904820000","1938451000","7252238000","3105405000","21205434000"
