"기준_년분기_코드","행정동_코드","행정동_코드_명","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","교육_지출_총금액","유흥_지출_총금액","여가_문화_지출_총금액","기타_지출_총금액","음식_지출_총금액"
"20261","11740700","둔촌2동","3944545000","667360000","30429000","150779000","469245000","801486000","153579000","25280000","280265000","290450000","1075672000"
"20261","11740690","둔촌1동","28545000","7350000","0","0","0","0","1360000","0","11078000","4170000","4587000"
"20261","11740685","길동","12054099000","3364888000","148988000","265847000","2920720000","125888000","355948000","453062000","753105000","413349000","3252304000"
"20261","11740660","성내3동","8156192000","1618776000","231146000","63360000","1850682000","273241000","377673000","173082000","513559000","328605000","2726068000"
"20261","11740650","성내2동","6920464000","1450647000","508199000","117435000","1950383000","130798000","169645000","154248000","264005000","166520000","2008584000"
"20261","11740640","성내1동","5821459000","855164000","149738000","83178000","1829528000","624249000","188527000","46932000","322366000","273614000","1448163000"
"20261","11740620","천호3동","6235729000","816389000","118957000","75575000","2593350000","16336000","122131000","199743000","433910000","280966000","1578372000"
"20261","11740610","천호2동","13984412000","1332961000","138509000","134460000","2607538000","543030000","153104000","512570000","4725162000","615954000","3221124000"
"20261","11740600","천호1동","3326492000","767978000","95286000","69500000","691603000","35509000","196980000","25696000","225571000","147622000","1070747000"
"20261","11740590","암사3동","1668400000","469238000","32787000","25200000","187392000","8357000","430725000","0","127825000","98056000","288820000"
"20261","11740580","암사2동","2531438000","467052000","21089000","79796000","573149000","117947000","218274000","34410000","178840000","96655000","744226000"
"20261","11740570","암사1동","6653893000","3181944000","71571000","33699000","730035000","396823000","195267000","147913000","304350000","299746000","1292545000"
"20261","11740560","고덕2동","2791425000","848595000","25831000","36496000","776162000","27224000","402751000","18156000","81944000","98331000","475935000"
"20261","11740550","고덕1동","1660160000","795416000","19495000","7528000","170690000","14788000","220146000","7656000","77064000","44960000","302417000"
"20261","11740540","명일2동","7229376000","892816000","48356000","15805000","2171066000","26933000","2275468000","33811000","345388000","191914000","1227819000"
"20261","11740530","명일1동","7103056000","1884713000","144643000","21807000","1707353000","55246000","796403000","157429000","272521000","219329000","1843612000"
