"기준_년분기_코드","서울시_코드","서울시_코드_명","아파트_단지_수","아파트_면적_66_제곱미터_미만_세대_수","아파트_면적_66_제곱미터_세대_수","아파트_면적_99_제곱미터_세대_수","아파트_면적_132_제곱미터_세대_수","아파트_면적_165_제곱미터_세대_수","아파트_가격_1_억_미만_세대_수","아파트_가격_1_억_세대_수","아파트_가격_2_억_세대_수","아파트_가격_3_억_세대_수","아파트_가격_4_억_세대_수","아파트_가격_5_억_세대_수","아파트_가격_6_억_이상_세대_수","아파트_평균_면적","아파트_평균_시가"
"20261","11","서울시","112053","718906","239640","49370","19177","12909","121224","437115","188252","71562","50911","40997","129941","59","295774650"
"20254","11","서울시","112053","718906","239640","49370","19177","12909","121224","437115","188252","71562","50911","40997","129941","59","295774650"
"20253","11","서울시","112053","718906","239640","49370","19177","12909","121224","437115","188252","71562","50911","40997","129941","59","295774650"
"20252","11","서울시","112053","718906","239640","49370","19177","12909","121224","437115","188252","71562","50911","40997","129941","59","295774650"
"20251","11","서울시","112053","718906","239640","49370","19177","12909","121224","437115","188252","71562","50911","40997","129941","59","295774650"
"20244","11","서울시","112053","718906","239640","49370","19177","12909","121224","437115","188252","71562","50911","40997","129941","59","295774650"
"20243","11","서울시","112053","718906","239640","49370","19177","12909","121224","437115","188252","71562","50911","40997","129941","59","295774650"
"20242","11","서울시","112053","718906","239640","49370","19177","12909","121224","437115","188252","71562","50911","40997","129941","59","295774650"
"20241","11","서울시","112053","718906","239640","49370","19177","12909","121224","437115","188252","71562","50911","40997","129941","59","295774650"
"20234","11","서울시","112053","718906","239640","49370","19177","12909","121224","437115","188252","71562","50911","40997","129941","59","295774650"
"20233","11","서울시","112053","718906","239640","49370","19177","12909","121224","437115","188252","71562","50911","40997","129941","59","295774650"
"20232","11","서울시","112053","718906","239640","49370","19177","12909","121224","437115","188252","71562","50911","40997","129941","59","295774650"
"20231","11","서울시","112053","718906","239640","49370","19177","12909","121224","437115","188252","71562","50911","40997","129941","59","295774650"
"20224","11","서울시","112053","718906","239640","49370","19177","12909","121224","437115","188252","71562","50911","40997","129941","59","295774650"
"20223","11","서울시","112217","724958","241039","49641","19367","12995","121969","439885","190056","72516","51556","41230","130788","59","296295584"
"20222","11","서울시","112217","724958","241039","49641","19367","12995","121969","439885","190056","72516","51556","41230","130788","59","296295584"
"20221","11","서울시","112217","724958","241039","49641","19367","12995","121969","439885","190056","72516","51556","41230","130788","59","296295584"
"20214","11","서울시","112217","724958","241039","49641","19367","12995","121969","439885","190056","72516","51556","41230","130788","59","296295584"
"20213","11","서울시","115152","1310412","806072","223551","78650","34556","235587","642459","421904","330249","246386","160438","416218","59","237998228"
"20212","11","서울시","115152","1310412","806072","223551","78650","34556","235587","642459","421904","330249","246386","160438","416218","59","237998228"
"20211","11","서울시","115152","1310412","806072","223551","78650","34556","235587","642459","421904","330249","246386","160438","416218","59","237998228"
