"기준_년분기_코드","자치구_코드","자치구_코드_명","아파트_단지_수","아파트_면적_66_제곱미터_미만_세대_수","아파트_면적_66_제곱미터_세대_수","아파트_면적_99_제곱미터_세대_수","아파트_면적_132_제곱미터_세대_수","아파트_면적_165_제곱미터_세대_수","아파트_가격_1_억_미만_세대_수","아파트_가격_1_억_세대_수","아파트_가격_2_억_세대_수","아파트_가격_3_억_세대_수","아파트_가격_4_억_세대_수","아파트_가격_5_억_세대_수","아파트_가격_6_억_이상_세대_수","아파트_평균_면적","아파트_평균_시가"
"20261","11740","강동구","5118","34148","12072","1815","549","300","2892","18965","12721","3276","2113","1586","7331","55","289229904"
"20261","11710","송파구","9184","59265","17455","4432","2102","569","3090","27522","25220","9417","3078","1821","13675","56","357392146"
"20261","11680","강남구","5205","27994","11706","5060","3076","3004","220","9287","10148","5714","3105","2030","20336","73","740734978"
"20261","11650","서초구","4796","21255","11456","4952","3334","3833","189","5738","7730","6283","3807","2545","18538","81","699516368"
"20261","11620","관악구","5562","36363","11051","1724","235","32","7868","24918","9110","2573","2170","1714","1052","55","189415238"
"20261","11590","동작구","4592","25418","12472","2055","510","103","2337","14804","11633","2391","1417","1813","6163","60","296605721"
"20261","11560","영등포구","2283","13924","5917","1334","775","170","2086","7374","3510","721","1289","1955","5185","60","358498150"
"20261","11545","금천구","2628","20706","5488","523","57","9","3016","18421","2918","1111","794","310","213","53","167945971"
"20261","11530","구로구","4656","33641","10302","1347","344","134","7567","23053","4975","3265","3381","2090","1437","56","196628251"
"20261","11500","강서구","8285","61249","15199","2205","782","148","11656","48044","5757","3109","2993","2820","5204","54","198685944"
"20261","11470","양천구","5830","38997","12962","2458","835","84","10586","25615","6334","2502","1703","1035","7561","56","258455197"
"20261","11440","마포구","4902","30680","10018","2195","426","124","4063","14950","11164","3964","1507","1280","6515","54","289648150"
"20261","11410","서대문구","4253","24617","10055","1781","468","321","6546","15520","5878","1938","2141","2026","3193","60","236239737"
"20261","11380","은평구","9039","57596","18465","2122","793","385","12386","43936","12797","2672","2501","2684","2385","56","187229617"
"20261","11350","노원구","3111","21053","8911","1800","539","2","3984","9924","4764","5149","4499","2285","1700","60","264515736"
"20261","11320","도봉구","3520","27339","7394","880","469","86","9837","17399","2719","2683","1837","1271","422","56","169896516"
"20261","11305","강북구","5209","37829","6874","1084","148","31","12272","26441","3459","1068","1341","701","684","53","151355915"
"20261","11290","성북구","4334","27471","10785","2511","519","244","4976","18945","6380","1607","3042","3654","2926","61","240570167"
"20261","11260","중랑구","4059","31132","7824","1136","144","3","4381","23030","7205","1895","2292","1128","308","52","188352147"
"20261","11230","동대문구","2408","16238","6582","1750","149","39","2317","7637","6833","1427","1657","2136","2751","59","276363203"
"20261","11215","광진구","4692","30479","9238","965","507","396","3200","18381","13217","2087","711","544","3445","53","240830723"
"20261","11200","성동구","1928","10647","5542","1652","274","90","1412","3591","2200","1309","836","1392","7465","62","459388770"
"20261","11170","용산구","3042","13605","5508","1864","1210","1762","314","3826","5790","3175","1749","1159","7936","71","578405236"
"20261","11140","중구","1081","6261","2179","740","157","160","1143","3552","1975","710","226","257","1634","62","292261797"
"20261","11110","종로구","2336","10999","4185","985","775","880","2886","6242","3815","1516","722","761","1882","71","271719514"
"20254","11740","강동구","5118","34148","12072","1815","549","300","2892","18965","12721","3276","2113","1586","7331","55","289229904"
"20254","11710","송파구","9184","59265","17455","4432","2102","569","3090","27522","25220","9417","3078","1821","13675","56","357392146"
"20254","11680","강남구","5205","27994","11706","5060","3076","3004","220","9287","10148","5714","3105","2030","20336","73","740734978"
"20254","11650","서초구","4796","21255","11456","4952","3334","3833","189","5738","7730","6283","3807","2545","18538","81","699516368"
"20254","11620","관악구","5562","36363","11051","1724","235","32","7868","24918","9110","2573","2170","1714","1052","55","189415238"
"20254","11590","동작구","4592","25418","12472","2055","510","103","2337","14804","11633","2391","1417","1813","6163","60","296605721"
"20254","11560","영등포구","2283","13924","5917","1334","775","170","2086","7374","3510","721","1289","1955","5185","60","358498150"
