"기준_년분기_코드","자치구_코드","자치구_코드_명","서비스_업종_코드","서비스_업종_코드_명","전체_점포_수","일반_점포_수","프랜차이즈_점포_수","개업_율","개업_점포_수","폐업_률","폐업_점포_수"
"20261","11740","강동구","CS300043","전자상거래업","779.0","779.0","0.0","0.3","2.0","9.0","70.0"
"20261","11740","강동구","CS300042","주유소","43.0","43.0","0.0","0.0","0.0","4.7","2.0"
"20261","11740","강동구","CS300041","예술품","30.0","30.0","0.0","10.0","3.0","0.0","0.0"
"20261","11740","강동구","CS300040","재생용품 판매점","42.0","42.0","0.0","0.0","0.0","0.0","0.0"
"20261","11740","강동구","CS300039","모터사이클및부품","20.0","20.0","0.0","0.0","0.0","5.0","1.0"
"20261","11740","강동구","CS300038","자동차부품","93.0","92.0","1.0","0.0","0.0","2.2","2.0"
"20261","11740","강동구","CS300037","중고차판매","13.0","13.0","0.0","0.0","0.0","0.0","0.0"
"20261","11740","강동구","CS300036","조명용품","189.0","188.0","1.0","0.0","0.0","1.1","2.0"
"20261","11740","강동구","CS300035","인테리어","200.0","200.0","0.0","1.5","3.0","0.5","1.0"
"20261","11740","강동구","CS300034","악기","14.0","14.0","0.0","0.0","0.0","0.0","0.0"
"20261","11740","강동구","CS300033","철물점","117.0","117.0","0.0","1.7","2.0","0.0","0.0"
"20261","11740","강동구","CS300032","가전제품","97.0","97.0","0.0","0.0","0.0","0.0","0.0"
"20261","11740","강동구","CS300031","가구","143.0","143.0","0.0","2.1","3.0","2.1","3.0"
"20261","11740","강동구","CS300030","중고가구","3.0","3.0","0.0","0.0","0.0","0.0","0.0"
"20261","11740","강동구","CS300029","애완동물","136.0","126.0","10.0","4.4","6.0","4.4","6.0"
"20261","11740","강동구","CS300028","화초","274.0","271.0","3.0","2.6","7.0","2.2","6.0"
"20261","11740","강동구","CS300027","섬유제품","116.0","116.0","0.0","5.2","6.0","1.7","2.0"
"20261","11740","강동구","CS300026","완구","44.0","44.0","0.0","0.0","0.0","0.0","0.0"
"20261","11740","강동구","CS300025","자전거 및 기타운송장비","74.0","74.0","0.0","1.4","1.0","4.1","3.0"
"20261","11740","강동구","CS300024","운동/경기용품","184.0","184.0","0.0","1.6","3.0","1.1","2.0"
"20261","11740","강동구","CS300023","미용재료","47.0","47.0","0.0","4.3","2.0","2.1","1.0"
"20261","11740","강동구","CS300022","화장품","439.0","420.0","19.0","1.1","5.0","3.2","14.0"
"20261","11740","강동구","CS300021","문구","131.0","122.0","9.0","3.8","5.0","3.1","4.0"
"20261","11740","강동구","CS300020","서적","155.0","145.0","10.0","5.2","8.0","0.6","1.0"
"20261","11740","강동구","CS300019","의료기기","199.0","196.0","3.0","0.0","0.0","2.0","4.0"
"20261","11740","강동구","CS300018","의약품","442.0","408.0","34.0","2.0","9.0","2.7","12.0"
"20261","11740","강동구","CS300017","시계및귀금속","138.0","136.0","2.0","2.2","3.0","0.7","1.0"
"20261","11740","강동구","CS300016","안경","113.0","79.0","34.0","1.8","2.0","0.9","1.0"
"20261","11740","강동구","CS300015","가방","101.0","100.0","1.0","2.0","2.0","3.0","3.0"
"20261","11740","강동구","CS300014","신발","129.0","126.0","3.0","0.0","0.0","1.6","2.0"
"20261","11740","강동구","CS300013","유아의류","67.0","66.0","1.0","0.0","0.0","4.5","3.0"
"20261","11740","강동구","CS300012","한복점","10.0","10.0","0.0","0.0","0.0","0.0","0.0"
"20261","11740","강동구","CS300011","일반의류","1251.0","1251.0","0.0","1.1","14.0","1.6","20.0"
"20261","11740","강동구","CS300010","반찬가게","408.0","392.0","16.0","2.5","10.0","2.7","11.0"
"20261","11740","강동구","CS300009","청과상","330.0","329.0","1.0","1.8","6.0","2.1","7.0"
"20261","11740","강동구","CS300008","수산물판매","161.0","156.0","5.0","1.2","2.0","1.9","3.0"
"20261","11740","강동구","CS300007","육류판매","272.0","270.0","2.0","1.8","5.0","2.2","6.0"
"20261","11740","강동구","CS300006","미곡판매","135.0","135.0","0.0","1.5","2.0","2.2","3.0"
"20261","11740","강동구","CS300005","주류도매","36.0","36.0","0.0","0.0","0.0","0.0","0.0"
"20261","11740","강동구","CS300004","핸드폰","281.0","274.0","7.0","0.7","2.0","3.2","9.0"
"20261","11740","강동구","CS300003","컴퓨터및주변장치판매","153.0","153.0","0.0","0.7","1.0","5.2","8.0"
"20261","11740","강동구","CS300002","편의점","342.0","96.0","246.0","1.8","6.0","2.6","9.0"
"20261","11740","강동구","CS300001","슈퍼마켓","506.0","356.0","150.0","3.6","18.0","4.9","25.0"
"20261","11740","강동구","CS200047","가정용품임대","46.0","46.0","0.0","0.0","0.0","2.2","1.0"
"20261","11740","강동구","CS200046","의류임대","15.0","15.0","0.0","0.0","0.0","13.3","2.0"
"20261","11740","강동구","CS200045","비디오/서적임대","10.0","9.0","1.0","0.0","0.0","0.0","0.0"
"20261","11740","강동구","CS200044","여행사","95.0","95.0","0.0","3.2","3.0","5.3","5.0"
"20261","11740","강동구","CS200043","건축물청소","257.0","250.0","7.0","0.0","0.0","1.6","4.0"
"20261","11740","강동구","CS200042","통번역서비스","49.0","49.0","0.0","0.0","0.0","4.1","2.0"
"20261","11740","강동구","CS200041","사진관","185.0","183.0","2.0","1.1","2.0","2.7","5.0"
"20261","11740","강동구","CS200040","녹음실","21.0","21.0","0.0","0.0","0.0","0.0","0.0"
"20261","11740","강동구","CS200039","DVD방","24.0","24.0","0.0","12.5","3.0","0.0","0.0"
