"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","총_직장_인구_수","남성_직장_인구_수","여성_직장_인구_수","연령대_10_직장_인구_수","연령대_20_직장_인구_수","연령대_30_직장_인구_수","연령대_40_직장_인구_수","연령대_50_직장_인구_수","연령대_60_이상_직장_인구_수","남성연령대_10_직장_인구_수","남성연령대_20_직장_인구_수","남성연령대_30_직장_인구_수","남성연령대_40_직장_인구_수","남성연령대_50_직장_인구_수","남성연령대_60_이상_직장_인구_수","여성연령대_10_직장_인구_수","여성연령대_20_직장_인구_수","여성연령대_30_직장_인구_수","여성연령대_40_직장_인구_수","여성연령대_50_직장_인구_수","여성연령대_60_이상_직장_인구_수"
"20261","U","관광특구","3001496","강남 마이스 관광특구","102032","68834","33198","260","20558","30594","27320","18116","5184","128","11046","20220","20142","14200","3098","132","9512","10374","7178","3916","2086"
"20261","U","관광특구","3001495","잠실 관광특구","137602","81307","56295","247","22732","36053","35461","30321","12788","95","11243","22723","22594","16132","8520","152","11489","13330","12867","14189","4268"
"20261","U","관광특구","3001494","종로?청계 관광특구","46516","26098","20418","658","9450","13848","12650","7438","2472","234","4072","7232","7590","5236","1734","424","5378","6616","5060","2202","738"
"20261","U","관광특구","3001493","동대문패션타운 관광특구","33754","16984","16770","259","9770","8679","6878","5414","2754","101","4677","5003","3924","2083","1196","158","5093","3676","2954","3331","1558"
"20261","U","관광특구","3001492","명동 남대문 북창동 다동 무교동 관광특구","199667","114485","85182","372","40531","66760","51480","31752","8772","83","15500","35220","34082","23643","5957","289","25031","31540","17398","8109","2815"
"20261","U","관광특구","3001491","이태원 관광특구","35826","21194","14632","10","8135","12085","8265","5961","1370","10","2789","6417","5823","5041","1114","0","5346","5668","2442","920","256"
"20261","R","전통시장","3130327","평화시장(남평화시장, 제일평화시장, 신평화패션타운)","894","486","408","0","276","192","168","156","102","0","120","102","86","106","72","0","156","90","82","50","30"
"20261","R","전통시장","3130326","고덕 골목형상점가","278","175","103","0","14","35","62","97","70","0","1","15","36","67","56","0","13","20","26","30","14"
"20261","R","전통시장","3130325","명일전통시장","377","212","165","0","56","101","96","68","56","0","26","62","63","35","26","0","30","39","33","33","30"
"20261","R","전통시장","3130324","길동복조리시장","147","75","72","0","20","29","34","37","27","0","7","16","18","17","17","0","13","13","16","20","10"
