"기준_년분기_코드","서울시_코드","서울시_코드_명","총_직장_인구_수","남성_직장_인구_수","여성_직장_인구_수","연령대_10_직장_인구_수","연령대_20_직장_인구_수","연령대_30_직장_인구_수","연령대_40_직장_인구_수","연령대_50_직장_인구_수","연령대_60_이상_직장_인구_수","남성연령대_10_직장_인구_수","남성연령대_20_직장_인구_수","남성연령대_30_직장_인구_수","남성연령대_40_직장_인구_수","남성연령대_50_직장_인구_수","남성연령대_60_이상_직장_인구_수","여성연령대_10_직장_인구_수","여성연령대_20_직장_인구_수","여성연령대_30_직장_인구_수","여성연령대_40_직장_인구_수","여성연령대_50_직장_인구_수","여성연령대_60_이상_직장_인구_수"
"20261","11","서울시","4202583","2581804","1620779","7801","748605","1202186","1077536","798075","368380","3106","345770","735164","714185","528905","254674","4695","402835","467022","363351","269170","113706"
"20254","11","서울시","4202583","2581804","1620779","7801","748605","1202186","1077536","798075","368380","3106","345770","735164","714185","528905","254674","4695","402835","467022","363351","269170","113706"
"20253","11","서울시","4202583","2581804","1620779","7801","748605","1202186","1077536","798075","368380","3106","345770","735164","714185","528905","254674","4695","402835","467022","363351","269170","113706"
"20252","11","서울시","4202583","2581804","1620779","7801","748605","1202186","1077536","798075","368380","3106","345770","735164","714185","528905","254674","4695","402835","467022","363351","269170","113706"
"20251","11","서울시","4202583","2581804","1620779","7801","748605","1202186","1077536","798075","368380","3106","345770","735164","714185","528905","254674","4695","402835","467022","363351","269170","113706"
"20244","11","서울시","4202583","2581804","1620779","7801","748605","1202186","1077536","798075","368380","3106","345770","735164","714185","528905","254674","4695","402835","467022","363351","269170","113706"
"20243","11","서울시","3939178","2420973","1518205","7970","701589","1123928","1007084","749992","348615","3249","324544","687293","667896","498417","239574","4721","377045","436635","339188","251575","109041"
"20242","11","서울시","3939178","2420973","1518205","7970","701589","1123928","1007084","749992","348615","3249","324544","687293","667896","498417","239574","4721","377045","436635","339188","251575","109041"
"20241","11","서울시","3939178","2420973","1518205","7970","701589","1123928","1007084","749992","348615","3249","324544","687293","667896","498417","239574","4721","377045","436635","339188","251575","109041"
"20234","11","서울시","3939178","2420973","1518205","7970","701589","1123928","1007084","749992","348615","3249","324544","687293","667896","498417","239574","4721","377045","436635","339188","251575","109041"
"20233","11","서울시","3692838","2262377","1430461","7958","656309","1048877","942748","707167","329779","3215","301500","638149","622211","469443","227859","4743","354809","410728","320537","237724","101920"
"20232","11","서울시","3692838","2262377","1430461","7958","656309","1048877","942748","707167","329779","3215","301500","638149","622211","469443","227859","4743","354809","410728","320537","237724","101920"
"20231","11","서울시","3692838","2262377","1430461","7958","656309","1048877","942748","707167","329779","3215","301500","638149","622211","469443","227859","4743","354809","410728","320537","237724","101920"
"20224","11","서울시","3692838","2262377","1430461","7958","656309","1048877","942748","707167","329779","3215","301500","638149","622211","469443","227859","4743","354809","410728","320537","237724","101920"
"20223","11","서울시","3921838","2403183","1518655","9318","698273","1112871","999243","748868","353265","3842","321831","678546","660857","496156","241951","5476","376442","434325","338386","252712","111314"
"20222","11","서울시","3921838","2403183","1518655","9318","698273","1112871","999243","748868","353265","3842","321831","678546","660857","496156","241951","5476","376442","434325","338386","252712","111314"
"20221","11","서울시","3921838","2403183","1518655","9318","698273","1112871","999243","748868","353265","3842","321831","678546","660857","496156","241951","5476","376442","434325","338386","252712","111314"
"20214","11","서울시","3921838","2403183","1518655","9318","698273","1112871","999243","748868","353265","3842","321831","678546","660857","496156","241951","5476","376442","434325","338386","252712","111314"
"20213","11","서울시","3856344","2362861","1493483","10353","690047","1095557","981662","733691","345034","4331","318477","668023","649954","486858","235218","6022","371570","427534","331708","246833","109816"
"20212","11","서울시","3856344","2362861","1493483","10353","690047","1095557","981662","733691","345034","4331","318477","668023","649954","486858","235218","6022","371570","427534","331708","246833","109816"
"20211","11","서울시","3856344","2362861","1493483","10353","690047","1095557","981662","733691","345034","4331","318477","668023","649954","486858","235218","6022","371570","427534","331708","246833","109816"
