"기준_년분기_코드","서울시_코드","서울시_코드_명","집객시설_수","관공서_수","은행_수","종합병원_수","일반_병원_수","약국_수","유치원_수","초등학교_수","중학교_수","고등학교_수","대학교_수","백화점_수","슈퍼마켓_수","극장_수","숙박_시설_수","공항_수","철도_역_수","버스_터미널_수","지하철_역_수","버스_정거장_수"
"20261","11","서울시","53594","1876","1942","55","219","4932","532","601","362","329","1254","10","178","117","352","25","","3","397","12747"
"20254","11","서울시","53594","1876","1942","55","219","4932","532","601","362","329","1254","10","178","117","352","25","","3","397","12747"
"20253","11","서울시","53594","1876","1942","55","219","4932","532","601","362","329","1254","10","178","117","352","25","","3","397","12747"
"20252","11","서울시","53594","1876","1942","55","219","4932","532","601","362","329","1254","10","178","117","352","25","","3","397","12747"
"20251","11","서울시","53594","1876","1942","55","219","4932","532","601","362","329","1254","10","178","117","352","25","","3","397","12747"
"20244","11","서울시","53594","1876","1942","55","219","4932","532","601","362","329","1254","10","178","117","352","25","","3","397","12747"
"20243","11","서울시","53594","1876","1942","55","219","4932","532","601","362","329","1254","10","178","117","352","25","","3","397","12747"
"20242","11","서울시","53594","1876","1942","55","219","4932","532","601","362","329","1254","10","178","117","352","25","","3","397","12747"
"20241","11","서울시","53594","1876","1942","55","219","4932","532","601","362","329","1254","10","178","117","352","25","","3","397","12747"
"20234","11","서울시","53594","1876","1942","55","219","4932","532","601","362","329","1254","10","178","117","352","25","","3","397","12747"
"20233","11","서울시","53594","1876","1942","55","219","4932","532","601","362","329","1254","10","178","117","352","25","","3","397","12747"
"20232","11","서울시","53594","1876","1942","55","219","4932","532","601","362","329","1254","10","178","117","352","25","","3","397","12747"
"20231","11","서울시","53594","1876","1942","55","219","4932","532","601","362","329","1254","10","178","117","352","25","","3","397","12747"
"20224","11","서울시","53594","1876","1942","55","219","4932","532","601","362","329","1254","10","178","117","352","25","","3","397","12747"
"20223","11","서울시","53594","1876","1942","55","219","4932","532","601","362","329","1254","10","178","117","352","25","","3","397","12747"
"20222","11","서울시","53594","1876","1942","55","219","4932","532","601","362","329","1254","10","178","117","352","25","","3","397","12747"
"20221","11","서울시","53594","1876","1942","55","219","4932","532","601","362","329","1254","10","178","117","352","25","","3","397","12747"
"20214","11","서울시","53594","1876","1942","55","219","4932","532","601","362","329","1254","10","178","117","352","25","","3","397","12747"
"20213","11","서울시","53594","1876","1942","55","219","4932","532","601","362","329","1254","10","178","117","352","25","","3","397","12747"
"20212","11","서울시","53594","1876","1942","55","219","4932","532","601","362","329","1254","10","178","117","352","25","","3","397","12747"
"20211","11","서울시","53594","1876","1942","55","219","4932","532","601","362","329","1254","10","178","117","352","25","","3","397","12747"
