"기준_년분기_코드","서울시_코드","서울시_코드_명","서비스_업종_코드","서비스_업종_코드_명","당월_매출_금액","당월_매출_건수","주중_매출_금액","주말_매출_금액","월요일_매출_금액","화요일_매출_금액","수요일_매출_금액","목요일_매출_금액","금요일_매출_금액","토요일_매출_금액","일요일_매출_금액","시간대_00~06_매출_금액","시간대_06~11_매출_금액","시간대_11~14_매출_금액","시간대_14~17_매출_금액","시간대_17~21_매출_금액","시간대_21~24_매출_금액","남성_매출_금액","여성_매출_금액","연령대_10_매출_금액","연령대_20_매출_금액","연령대_30_매출_금액","연령대_40_매출_금액","연령대_50_매출_금액","연령대_60_이상_매출_금액","주중_매출_건수","주말_매출_건수","월요일_매출_건수","화요일_매출_건수","수요일_매출_건수","목요일_매출_건수","금요일_매출_건수","토요일_매출_건수","일요일_매출_건수","시간대_건수~06_매출_건수","시간대_건수~11_매출_건수","시간대_건수~14_매출_건수","시간대_건수~17_매출_건수","시간대_건수~21_매출_건수","시간대_건수~24_매출_건수","남성_매출_건수","여성_매출_건수","연령대_10_매출_건수","연령대_20_매출_건수","연령대_30_매출_건수","연령대_40_매출_건수","연령대_50_매출_건수","연령대_60_이상_매출_건수"
"20261","11","서울시","CS300043","전자상거래업","30342549134","559559","22747132839","7595416295","4737854489","4472518158","4177358943","3339750955","6019650294","4197093431","3398322864","231030857","1744029801","7302016617","10971657843","8307323283","1786490733","12564590365","14378251687","276724313","4336595991","8642490669","4787634811","4731779497","4167616768","332819","226740","60095","60544","60701","68076","83403","136865","89875","4332","14551","140866","190511","185268","24031","255213","282512","13983","160835","153985","103694","64761","40464"
"20261","11","서울시","CS300036","조명용품","390157289246","3677401","355691548501","34465740745","73054182245","69094887020","59818548401","61281319339","92442611496","27455011220","7010729525","171992070","104879595708","120548399818","125678800419","38469071284","409429947","205570454675","85577072102","27394539","2144208166","26840267000","51977557037","106735438514","103422661536","3081890","595511","647433","619937","555977","595832","662711","461073","134438","7039","865088","1119123","1180953","436126","69072","2104558","838964","6650","96321","367761","463492","767890","1241393"
"20261","11","서울시","CS300035","인테리어","50286179390","790461","42338138290","7948041100","8752394266","8783076898","6145197429","9227261742","9430207955","6419209646","1528831454","58951589","14502015423","13487213138","15278702163","6156729666","802567411","23099944361","19870067691","8605812","1056439156","4935240933","6937038336","11097490262","18935466237","616916","173545","127603","118321","109024","125961","136007","128485","45060","1196","185538","232822","262962","106420","1523","366399","317555","553","29547","86552","94774","153644","318882"
"20261","11","서울시","CS300033","철물점","62246852543","1198604","53118319662","9128532881","10577364999","11013053660","9791575724","10244795067","11491530212","7651756339","1476776542","50566888","16092201708","18719240851","19292566668","7831988905","260287523","29699653854","21053205344","2086444","626654693","4994772564","8651841172","15184065999","21294460505","987939","210665","198723","195085","174736","207023","212372","165479","45186","981","342926","353870","363916","135884","1027","656920","275723","240","24709","127227","148851","248265","383487"
"20261","11","서울시","CS300032","가전제품","288023053723","506423","160870860451","127152193272","40126134596","26152733670","25956200923","30697231950","37938559312","65892581079","61259612193","0","13917427014","76226693010","110448086933","86253637548","1177209218","156823015695","125951919168","110450226","11844432871","63593386032","69469189719","69495033589","68262442442","301754","204669","64760","54139","55291","58502","69062","105653","99016","0","29040","132773","184189","157076","3345","290438","206555","1217","26667","108997","109278","109629","141199"
"20261","11","서울시","CS300031","가구","135939167639","290978","84206245419","51732922220","18406715319","13524702644","19716877988","16532686896","16025262572","27630995333","24101926887","2846916","10513196735","29548501789","62194599702","33570941096","109081401","63133000513","65696368133","1553826","2298635683","20381766355","24264182053","35431782282","46450682061","200388","90590","40376","36614","34870","38720","49808","42764","47826","30","43075","85408","116419","45865","181","120038","142388","44","12380","50774","48379","66355","84492"
"20261","11","서울시","CS300029","애완동물","11781213352","236529","7818096991","3963116361","1393986398","1427990075","1147883518","1564081114","2284155886","2060644150","1902472211","374358555","922853244","2342537645","3987209956","3168007730","986246222","4443926013","7093388834","10705040","1104641210","2943719035","2421979554","2558080104","2498189916","163254","73275","34365","32532","28849","32312","35196","42539","30736","1994","14875","59976","79479","71351","8854","92678","141700","614","17352","39216","37513","59175","80502"
"20261","11","서울시","CS300028","화초","75174449968","1457321","58859046602","16315403366","11243484023","10968806482","10759951123","11114853910","14771951064","10883302491","5432100875","912313393","15437152233","20284055617","21742523847","15234543701","1563861177","24455217460","31078780802","147029038","4688784748","10482083675","10807274459","13924444601","15484455350","1064495","392826","189443","201000","189755","210447","273850","256825","136001","11869","225486","423907","420209","349028","26822","545936","720807","7973","184668","286719","244452","268811","274141"
"20261","11","서울시","CS300027","섬유제품","25256025287","305870","19755533652","5500491635","4090424451","3365588682","3929870046","4091696257","4277954216","3588464412","1912027223","0","2495166751","7607564240","10569615654","4511276300","72402342","8229206644","15356321046","5374463","575678601","1701708462","2800266933","6110526283","12391972953","238472","67398","50540","48867","41826","47657","49582","47095","20303","0","34886","91881","123105","55506","492","106023","184765","126","11317","21715","27339","77442","152855"
"20261","11","서울시","CS300026","완구","27504295979","1301232","17792191023","9712104956","3135801622","2685121888","3472711266","3182521974","5316034273","6102440297","3609664659","3116609","1112128830","6110723730","9283780592","10080590838","913955380","16693719525","10357517365","562176080","6131126683","7737771195","5878492356","3162933914","3578736661","745745","555487","147913","127014","136477","146585","187756","326544","228943","927","33314","236476","454767","557694","18054","505594","793493","45759","493493","403154","238294","76563","41821"
