"기준_년분기_코드","자치구_코드","자치구_코드_명","서비스_업종_코드","서비스_업종_코드_명","당월_매출_금액","당월_매출_건수","주중_매출_금액","주말_매출_금액","월요일_매출_금액","화요일_매출_금액","수요일_매출_금액","목요일_매출_금액","금요일_매출_금액","토요일_매출_금액","일요일_매출_금액","시간대_00~06_매출_금액","시간대_06~11_매출_금액","시간대_11~14_매출_금액","시간대_14~17_매출_금액","시간대_17~21_매출_금액","시간대_21~24_매출_금액","남성_매출_금액","여성_매출_금액","연령대_10_매출_금액","연령대_20_매출_금액","연령대_30_매출_금액","연령대_40_매출_금액","연령대_50_매출_금액","연령대_60_이상_매출_금액","주중_매출_건수","주말_매출_건수","월요일_매출_건수","화요일_매출_건수","수요일_매출_건수","목요일_매출_건수","금요일_매출_건수","토요일_매출_건수","일요일_매출_건수","시간대_건수~06_매출_건수","시간대_건수~11_매출_건수","시간대_건수~14_매출_건수","시간대_건수~17_매출_건수","시간대_건수~21_매출_건수","시간대_건수~24_매출_건수","남성_매출_건수","여성_매출_건수","연령대_10_매출_건수","연령대_20_매출_건수","연령대_30_매출_건수","연령대_40_매출_건수","연령대_50_매출_건수","연령대_60_이상_매출_건수"
"20261","11740","강동구","CS300043","전자상거래업","19023623","502","14065072","4958551","1343952","1451469","3406309","2800308","5063034","2475904","2482647","0","723290","4931187","9268869","1901082","2199195","5375809","10691119","0","1701440","2209513","2723871","3166841","6265263","416","86","10","5","166","108","127","76","10","0","30","176","173","118","5","142","345","0","46","57","43","117","224"
"20261","11740","강동구","CS300036","조명용품","3328159839","71967","2554727538","773432301","801178819","559181544","324257557","314088189","556021429","675744257","97688044","0","1144209501","1207627325","581066360","395104109","152544","2133422095","492162727","0","30243979","92408574","586358042","650967647","1265606582","60309","11658","13688","10804","10809","11123","13885","11202","456","0","16297","22539","21751","11349","31","44446","17796","0","2044","3225","9249","14578","33145"
"20261","11740","강동구","CS300035","인테리어","570228745","12816","449321592","120907153","89599353","47824913","77943307","166409928","67544091","82858264","38048889","0","152878151","102009962","216903946","98436686","0","227042587","245085822","330800","3674297","41960157","199258388","75536929","151367831","9816","3000","1968","1955","1457","1797","2639","1977","1023","0","2170","4294","4612","1740","0","6509","5275","25","250","1884","2261","2029","5335"
"20261","11740","강동구","CS300033","철물점","5431647239","59691","4866180047","565467192","864004802","1132041103","1185691007","824184296","860258839","428202097","137265095","0","1587979503","1985507598","1475763135","370267505","12129498","2140266583","1991583711","0","27314157","359441101","657006024","1397466174","1690622838","49884","9807","10140","10910","9416","9763","9655","7805","2002","0","17054","16749","17784","7994","110","29604","16160","0","736","5289","6955","11887","20910"
"20261","11740","강동구","CS300032","가전제품","2591613369","1348","1322251279","1269362090","346463317","84287049","414174803","201075224","276250886","983254003","286108087","0","146417849","705287606","1148665929","591241985","0","1260348634","1330624705","0","12318314","818116798","517264669","711768767","531504791","817","531","170","78","184","236","149","372","159","0","57","417","559","315","0","569","768","0","10","244","185","300","598"
"20261","11740","강동구","CS300031","가구","128486240","764","109688023","18798217","8537138","27186368","6777798","51834337","15352382","17884024","914193","0","19747956","35174723","60016740","13546821","0","93045636","29986062","0","0","1594723","26996723","72037613","22402638","636","128","105","72","105","202","152","106","22","0","151","195","302","116","0","496","144","0","0","69","75","234","265"
"20261","11740","강동구","CS300029","애완동물","655530426","6625","364797390","290733036","56710755","100299654","50486268","47879947","109420766","78586401","212146635","0","20331165","227978702","280822269","102504533","23893757","236124830","419405596","248188","110032970","143112996","195008479","87263539","119864254","4049","2576","835","753","817","965","679","1227","1349","0","407","1684","1939","2452","143","2663","3962","6","359","1205","1164","1752","2139"
"20261","11740","강동구","CS300028","화초","6959280207","67304","4797142972","2162137235","923554652","984953902","894225631","782867384","1211541403","949654128","1212483107","89459452","1789150506","1954010274","1599464105","809000814","718195056","3823227623","2627739567","3343899","154975434","691435551","1083022298","2012814727","2505643260","43722","23582","9170","7991","7224","8666","10671","12402","11180","171","10743","18537","20654","15117","2082","30876","31811","177","3177","10224","11755","16648","20739"
"20261","11740","강동구","CS300027","섬유제품","917998574","11066","631472446","286526128","141882077","108341152","72203726","72081196","236964295","194115107","92411021","0","37844964","258701606","368523445","252928559","0","250312733","640889459","0","10689965","52103296","98841866","263954427","465612640","8108","2958","1502","1634","1393","1509","2070","1843","1115","0","584","2920","5273","2289","0","3302","7649","0","163","515","1253","2364","6656"
"20261","11740","강동구","CS300026","완구","261532216","3377","160584998","100947218","15165630","28156312","13157048","97927991","6178017","90752151","10195067","0","33513923","164694124","37077046","26247123","0","235925682","25303483","0","0","25880741","21870350","43776593","169701481","2232","1145","444","503","169","568","548","663","482","0","584","1243","998","552","0","3261","102","0","0","127","211","775","2250"
"20261","11740","강동구","CS300025","자전거 및 기타운송장비","5278731943","29424","3118665126","2160066817","937268217","538363152","108538817","883156000","651338940","1365748652","794318165","0","832887761","1969302616","1474382209","1002159357","0","3636255700","1227044752","39046031","6769440","662166368","1919758335","1126194367","1109365911","15005","14419","3297","2493","2218","3812","3185","8490","5929","0","2100","12037","9400","5887","0","22949","5729","585","313","4558","7833","6656","8730"
"20261","11740","강동구","CS300024","운동/경기용품","3283719778","22756","1859576305","1424143473","382159988","385870520","355303289","317414152","418828356","903647461","520496012","11709255","67089642","858567641","1339884721","909753709","96714810","2005577740","1137803189","147438379","77032476","420205685","931814551","983319066","583570768","14706","8050","2909","2988","2928","2543","3338","4464","3586","296","897","5681","7566","6269","2047","14931","6120","173","623","3075","6152","5180","5847"
"20261","11740","강동구","CS300022","화장품","3333174107","76697","2585908945","747265162","538714751","525989928","528904879","481937738","510361649","452164805","295100357","151284924","178160130","976238996","1169932184","718560862","138997011","1051162559","2232804165","3288056","107097647","375363597","434457979","706027726","1658074181","57211","19486","10924","10708","11083","10707","13789","10744","8742","1335","4890","21053","29662","18504","1253","25697","50738","102","1742","5200","6475","12359","50561"
"20261","11740","강동구","CS300021","문구","11705372719","235489","11202997339","502375380","1173630040","2281076023","2869001875","1728561785","3150727616","407634435","94740945","109572","1028318104","4911487175","4804357973","942363793","18736102","1168456945","1247091499","10966381","148144149","219178083","855459859","545358247","636441725","199616","35873","38639","40137","42969","37005","40866","26859","9014","18","25353","73417","90369","42851","3481","79440","93486","2795","11962","22800","63993","31458","39921"
"20261","11740","강동구","CS300020","서적","2273082657","51792","1741763965","531318692","295485643","336135734","589651021","222536489","297955078","292707837","238610855","0","131383874","420878776","938797592","671172699","110849716","818120320","1439845267","35344688","13201073","281608815","1035561013","724502679","167747317","36599","15193","6872","7926","8045","6904","6852","7981","7212","0","2795","10984","19036","17322","1655","20831","30706","1875","634","2583","23004","16598","6845"
