country_name,target_tier,tendency,tv_stickiness_ratio,film_market_size_hours
Portugal,1차 타겟,영화 선호형,2.115027829313544,4506270000.0
Croatia,1차 타겟,영화 선호형,1.4485530546623793,4402150000.0
Hungary,1차 타겟,영화 선호형,1.7715654952076676,4382880000.0
Slovakia,1차 타겟,영화 선호형,1.6418604651162791,4292750000.0
Serbia,1차 타겟,영화 선호형,1.727891156462585,4249410000.0
Ukraine,1차 타겟,영화 선호형,1.751060820367751,4168220000.0
Russia,1차 타겟,영화 선호형,1.9310776942355887,4166960000.0
Czech Republic,1차 타겟,영화 선호형,1.699088145896657,4128750000.0
Lithuania,1차 타겟,영화 선호형,1.6523972602739725,4087160000.0
Morocco,1차 타겟,영화 선호형,1.7473309608540923,4068900000.0
Estonia,1차 타겟,영화 선호형,1.5774647887323945,4007310000.0
Latvia,1차 타겟,영화 선호형,1.5530434782608695,3992740000.0
Slovenia,1차 타겟,영화 선호형,1.7545126353790614,3979710000.0
Maldives,1차 타겟,영화 선호형,1.6266666666666667,3979320000.0
Lebanon,1차 타겟,영화 선호형,2.0881294964028774,3943560000.0
Sri Lanka,1차 타겟,영화 선호형,1.7618181818181815,3922040000.0
Saudi Arabia,1차 타겟,영화 선호형,1.8403508771929824,3890880000.0
Egypt,1차 타겟,영화 선호형,2.0347107438016527,3744160000.0
Pakistan,1차 타겟,영화 선호형,1.8890229191797347,3428810000.0
Bangladesh,1차 타겟,영화 선호형,1.5805592543275633,3327720000.0
Taiwan,1차 타겟,영화 선호형,1.7899408284023668,3285320000.0
Nigeria,1차 타겟,영화 선호형,1.5682492581602374,3239550000.0
India,1차 타겟,영화 선호형,1.7728937728937728,3127610000.0
South Korea,1차 타겟,영화 선호형,1.9831804281345569,2758890000.0
Uruguay,2차 타겟,중립형,2.0839002267573696,4587680000.0
Luxembourg,2차 타겟,중립형,1.652908067542214,4309680000.0
Spain,2차 타겟,중립형,1.7664670658682635,4295320000.0
Cyprus,2차 타겟,중립형,1.958801498127341,4284480000.0
Greece,2차 타겟,중립형,1.7590361445783131,4172770000.0
Italy,2차 타겟,중립형,2.0570824524312896,4143240000.0
Poland,2차 타겟,중립형,2.284518828451883,4103880000.0
Trinidad and Tobago,2차 타겟,중립형,1.5297872340425531,4092480000.0
Romania,2차 타겟,중립형,1.85838779956427,4087280000.0
Finland,2차 타겟,중립형,2.0956175298804784,4084170000.0
Bulgaria,2차 타겟,중립형,1.6737967914438503,4073900000.0
United States,2차 타겟,중립형,1.7132486388384756,4073180000.0
Bahrain,2차 타겟,중립형,1.9333333333333331,4071050000.0
Switzerland,2차 타겟,중립형,1.6172607879924952,4065920000.0
Belgium,2차 타겟,중립형,1.6387225548902198,4065680000.0
Israel,2차 타겟,중립형,2.5629770992366407,4044890000.0
Kuwait,2차 타겟,중립형,1.869902912621359,3999670000.0
Iceland,2차 타겟,중립형,1.4257246376811594,3985030000.0
Martinique,2차 타겟,중립형,1.8016701461377869,3971460000.0
Guadeloupe,2차 타겟,중립형,1.7880085653104925,3953570000.0
United Arab Emirates,2차 타겟,중립형,1.9561586638830897,3939800000.0
Qatar,2차 타겟,중립형,2.081932773109244,3933490000.0
Sweden,2차 타겟,중립형,1.6800000000000002,3928450000.0
Turkey,2차 타겟,중립형,1.85239852398524,3920770000.0
Norway,2차 타겟,중립형,1.5463320463320465,3919480000.0
Réunion,2차 타겟,중립형,1.9444444444444444,3918190000.0
Jamaica,2차 타겟,중립형,1.7717391304347825,3904440000.0
Netherlands,2차 타겟,중립형,1.76734693877551,3897820000.0
Malta,2차 타겟,중립형,1.780590717299578,3892220000.0
Bahamas,2차 타겟,중립형,1.7391304347826086,3890180000.0
Denmark,2차 타겟,중립형,1.564870259481038,3885760000.0
Mauritius,2차 타겟,중립형,1.6634615384615383,3883320000.0
Austria,2차 타겟,중립형,1.67287784679089,3852810000.0
France,2차 타겟,중립형,1.693446088794926,3845760000.0
Germany,2차 타겟,중립형,1.603174603174603,3843960000.0
Malaysia,2차 타겟,중립형,2.634655532359081,3780780000.0
South Africa,2차 타겟,중립형,1.7536534446764092,3720910000.0
New Zealand,2차 타겟,중립형,1.5590200445434297,3682970000.0
New Caledonia,2차 타겟,중립형,1.652694610778443,3629340000.0
Kenya,2차 타겟,중립형,1.6653061224489794,3599790000.0
Canada,2차 타겟,중립형,1.5573770491803278,3583910000.0
Australia,2차 타겟,중립형,1.6666666666666667,3547690000.0
Philippines,2차 타겟,중립형,2.7107623318385654,3516420000.0
Singapore,2차 타겟,중립형,2.195604395604396,3487920000.0
United Kingdom,2차 타겟,중립형,1.4969072164948454,3485640000.0
Ireland,2차 타겟,중립형,1.7826086956521738,3345240000.0
Hong Kong,2차 타겟,중립형,2.050485436893204,3173110000.0
